brewery_id,brewery_name,lat,lng,address
1303,Jennings Brothers PLC,,,
3268,O'Fallon Brewery,38.7046709,-90.44768210000001,"45 Progress Pkwy, Maryland Heights, MO 63043, USA"
936,No-Li Brewhouse,47.6627053,-117.3941863,"1003 E Trent Ave #170, Spokane, WA 99202, USA"
25684,Birrificio Indipendente Elav,45.6156547,9.6586401,"Via Autieri d'Italia, 268, 24040 Comun Nuovo BG, Italy"
2446,Catawba Valley Brewing Company,35.589068,-82.55353699999999,"32 Banks Ave, Asheville, NC 28801, USA"
1487,Accra Brewery Limited,5.553529,-0.2165943,"El Nasser Building, 22 Graphic Rd, Accra, Ghana"
5007,Brasserie d'Algiers,36.753768,3.0587561,"Algiers, Sidi M'Hamed, Algeria"
12907,Sauris AgriBeer S.a.s,46.4681278,12.6827278,"Sauris di Sopra, 50, 33020 Sauris di Sopra UD, Italy"
60,Cooperstown Brewing Company,42.588861,-74.941396,"110 River St, Milford, NY 13807, USA"
3207,San Francisco Brewing Company,37.8058697,-122.4230558,"3150 Polk St, San Francisco, CA 94109, USA"
1917,Kompania Piwowarska,,,
6277,Stakhanovitz,,,
22288,Mt Tabor Brewing,45.7074282,-122.7085384,"3600 NW 119th St, Vancouver, WA 98685, USA"
16863,Wapping Beers Ltd.,53.398275,-2.9867112,"Wapping, Liverpool L3, UK"
23739,Marco Island Brewery,25.9531412,-81.72320280000001,"1089 N Collier Blvd, Marco Island, FL 34145, USA"
2430,Al Ahram Beverages Company,30.201025,31.440137,"Industrial Area Zone A – Area 11 to 24 Block 12003، OBOUR CITY، Al Obour, Al Qalyubia Governorate, Egypt"
24072,Copper Crow Brewing Company,46.8568354,-90.7938444,"#37395, 54814 State Hwy 13, Bayfield, WI 54814, USA"
1482,The Seven Barrel Brewery,43.6305931,-72.3197953,"Colonial Plaza, 5 Airport Rd, West Lebanon, NH 03784, USA"
5752,Brauerei Aldersbach,48.5880916,13.0854846,"Freiherr-von-Aretin-Platz 1, 94501 Aldersbach, Germany"
26946,Big Hurt Brewing Company,,,
10950,Richmodis-BrÃ¤u,,,
5500,Black Forest Brew Haus & Grill,40.755069,-73.414424,"2015 New Hwy, Farmingdale, NY 11735, USA"
3965,Anacapa Brewing Company,34.2806759,-119.2935844,"472 E Main St, Ventura, CA 93001, USA"
26816,Kolding Bryglaug,55.4896962,9.4752684,"Slotsgade 15, 6000 Kolding, Denmark"
2647,Brasserie Britt de Bretagne,47.859065,-3.870567,"Lieu-dit Kerouel, 29910 Trégunc, France"
13670,The Two Metre Tall Company Pty Ltd,-42.7306935,146.9604464,"2862 Lyell Hwy, Hayes TAS 7140, Australia"
21590,Ram Restaurant & Brewery,43.60454259999999,-116.1926393,"709 E Park Blvd, Boise, ID 83712, USA"
2464,The Cowboy Restaurant & Brewery,33.982121,-81.237217,"108 E Main St, Lexington, SC 29072, USA"
14365,Growlers,35.1420657,-89.99685799999999,"1911 Poplar Ave, Memphis, TN 38104, USA"
16050,Privatbrauerei HÃ¶sl,,,
1127,Buckhead Brewery and Grill,33.8184522,-84.4346066,"2323 Defoor Hills Rd NW, Atlanta, GA 30318, USA"
3524,Bayerische Brauerei Kaiserslautern,39.8756111,-86.08286389999999,"5133 E 65th St, Indianapolis, IN 46220, USA"
1616,Spanish Springs Brewing Company,28.9408445,-81.94966889999999,"Lady Lake, FL 32159, USA"
23982,Brasserie Craig Allan,49.57885719999999,2.8328958,"109 Rue Saint-Jean, 60310 Plessis-de-Roye, France"
1289,The Ship Inn,40.5685294,-75.0954483,"61 Bridge St, Milford, NJ 08848, USA"
2600,Fernandes Brewery Tap,53.6802917,-1.4928798,"5 Avison Yard, Wakefield WF1 1UA, UK"
2554,Matso's Broome Brewery,-17.9620854,122.2404194,"60 Hamersley St, Broome WA 6725, Australia"
1381,Amstar,37.7641766,-89.3397599,"1501 Walnut St, Murphysboro, IL 62966, USA"
11159,"Pivovar Nymburk, spol. s r.o.",50.1782827,15.0381381,"Pražská 581/22, 288 02 Nymburk, Czechia"
5095,Naturbier,40.4144,-3.700737999999999,"Plaza de Sta. Ana, 9, 28012 Madrid, Spain"
8775,O'Griff's Irish Pub & Brewhouse,39.933439,-91.4092857,"415 Hampshire St, Quincy, IL 62301, USA"
16269,Inlet Brewing Co.,42.2703949,-79.4730598,"6169 Elm Flat Rd, Mayville, NY 14757, USA"
24447,Pensacola Bay Brewery,30.4087278,-87.21023330000001,"225 Zaragoza St, Pensacola, FL 32502, USA"
7091,Archers Brewing & Wholesale Limited,,,
6513,SchorschbrÃ¤u,,,
16041,Birrificio B.O.A. (Birrificio Ostiense Artigianale),,,
26384,Birrificio Del Levante - Leone D'Oro,41.0402202,16.8279376,"Via XXIV Maggio, 6, 70020 Bitritto BA, Italy"
11084,"Great Sex Brewing, Inc.",,,
7732,Lido Atputas Centrs,56.926888,24.1596533,"Krasta iela 76, Latgales priekšpilsēta, Rīga, LV-1019, Latvia"
7601,Brauerei An Der Thomaskirche,51.3392913,12.3737277,"Thomaskirchhof 3-5, 04109 Leipzig, Germany"
4955,Palos De Moguer - 82,37.27464,-6.8369079,"21800 Moguer, Huelva, Spain"
13892,Red Squirrel Brewery,51.7591401,-0.5602469999999999,"104 High St, Berkhamsted HP4 2BL, UK"
7088,Sternquell Brauerei Plauen,50.4982041,12.1242607,"Dobenaustraße 83, 08523 Plauen, Germany"
17285,Mattingly Brewing Company,,,
27133,Raw Microbrewery,26.2532549,-80.15354289999999,"2221 NW 18th St, Pompano Beach, FL 33069, USA"
11863,Brasserie Artisanale De La Divatte,47.2806121,-1.3735675,"34bis Le Norestier, 44450 Divatte-sur-Loire, France"
16323,Brasserie De La Baie,48.63119709999999,-1.4326948,"4 Route de Roche Torin, 50220 Courtils, France"
20268,Kirkwood Station Brewing Company,38.5805222,-90.4056076,"110 W Argonne Dr, Frontenac, MO 63131, USA"
18816,Vertigo Brewing,45.5315713,-122.8960649,"8130 NE Nicholas Ct. Suites D6 & D7, NE Nicholas Ct, Hillsboro, OR 97124, USA"
5321,McMenamins Queen Anne Hill,47.625597,-122.3517127,"200 Roy St #105, Seattle, WA 98109, USA"
24892,Brewfist,45.15687310000001,9.6735832,"Via A. Molinari, 5, 26845 Codogno LO, Italy"
3512,Brouwerij Ter Dolen N.V.,51.064742,5.3883876,"Eikendreef 21, 3530 Houthalen-Helchteren, Belgium"
574,Swan Brewery,28.0461385,-81.9580824,"115 W Pine St, Lakeland, FL 33815, USA"
5319,Cornelius Pass Roadhouse & Imbrie Hall (McMenamins),45.54910539999999,-122.9010141,"4045 NE Cornelius Pass Rd, Hillsboro, OR 97124, USA"
2723,Brauerei Gasthof Hartmann,49.9791286,11.0898405,"Fränkische-Schweiz-Straße 26, 96110 Scheßlitz, Germany"
14003,"Why Not Brewery, The",,,
22430,Mallinsons Brewing Company,53.63722509999999,-1.7896638,"65-71 Lockwood Rd, Lockwood, Huddersfield HD1 3QU, UK"
24445,Haymarket Pub & Brewery,41.8841667,-87.64722220000002,"737 W Randolph St, Chicago, IL 60661, USA"
860,The Vermont Pub & Brewery,44.477262,-73.214394,"144 College St, Burlington, VT 05401, USA"
9347,Pivovar Ferdinand / Pivovar BeneÂov,,,
2100,"Hijos De Rivera, S.A.",43.3525538,-8.420634,"Rúa José María Rivera Corral, 6, 15008 A Coruña, Spain"
2804,Pivovaren Zavod Varensko Pivo,,,
24748,Tioga-Sequoia Brewing Company,36.7314557,-119.7884129,"745 Fulton St, Fresno, CA 93721, USA"
11203,Hog Haus Brewing Company,39.7905147,-86.1824802,"1701 Gent Ave, Indianapolis, IN 46202, USA"
23468,Colorado Mountain Brewery,38.8401727,-104.8595503,"600 S 21st St #180, Colorado Springs, CO 80904, USA"
12224,RinkuÅ¡kiai Alaus Darykloje,,,
27797,William K Busch Brewing Company,38.7064258,-90.81887329999999,"4020 Benne Rd, Defiance, MO 63341, USA"
6245,Mt. Angel Brewing Company,45.0612004,-122.7859938,"400 Humpert Ln NE, Mt Angel, OR 97362, USA"
807,George Bateman and Son Ltd. / Batemans Brewery,53.104435,0.232227,"Salem Bridge Brewery, Mill Ln, Wainfleet All Saints, Skegness PE24 4JE, UK"
576,Zak&#322;ady Piwowarskie w Le&#380;ajsku S.A.,,,
7536,Castle Bay Irish Pub,38.9778893,-76.4908743,"193A Main St, Annapolis, MD 21401, USA"
27079,Cerveceros Krut S.L.,,,
27021,Tighthead Brewing Company,42.2659618,-87.9987469,"161 N Archer Ave, Mundelein, IL 60060, USA"
670,Riverside Brewing Company,41.8057256,-80.0531173,"1 Fountain St, Cambridge Springs, PA 16403, USA"
263,Brauerei Heller-Trum / Schlenkerla,,,
1413,Desert Edge Brewery,40.757256,-111.8730339,"273 Trolley Square, Salt Lake City, UT 84102, USA"
1417,Black Sheep Brewery PLC,,,
381,Snowgoose Restaurant & Pub / Sleeping Lady Brewing Company,61.21962970000001,-149.8959203,"717 W 3rd Ave, Anchorage, AK 99501, USA"
81,Heineken Nederland B.V.,51.70017559999999,5.2807167,"Rietveldenweg 25, 5222 AP 's-Hertogenbosch, Netherlands"
2906,Wildwood Brewing Co.,38.9848224,-74.8250982,"127 W Rio Grande Ave, Wildwood, NJ 08260, USA"
688,Coastal Extreme Brewing Co.,41.514309,-71.31570599999999,"293 JT Connell Hwy, Newport, RI 02840, USA"
16866,The Bruery,33.8623664,-117.8791487,"717 Dunn Way, Placentia, CA 92870, USA"
568,Browar Okocim S.A. (Carlsberg),49.9594599,20.6039592,"Browarna 14, 32-800 Brzesko, Poland"
1,"Plzensky Prazdroj, a. s.",49.746677,13.38674,"U Prazdroje 7, 301 00 Plzeň 3, Czechia"
161,Florida Beer Company,28.3989815,-80.6114123,"200 Imperial Blvd, Cape Canaveral, FL 32920, USA"
4103,Pivovar Breznak,50.66458,14.1389806,"Pivovarská 116, 403 22 Velké Březno, Czechia"
8685,Ruth McGowan's Brewpub,38.805559,-123.0158809,"131 E 1st St, Cloverdale, CA 95425, USA"
339,Flying Fish Brewing Company,39.8539608,-75.02031769999999,"900 Kennedy Blvd, Somerdale, NJ 08083, USA"
140,Sierra Nevada Brewing Co.,35.4307254,-82.5537937,"100 Sierra Nevada Way, Fletcher, NC 28732, USA"
11710,Speciaalbierbrouwerij Oijen,51.8103979,5.5309122,"Oijense Bovendijk 61, 5394 LA Oijen, Netherlands"
2916,Highwood Brewery Ltd.,42.2057393,-87.811768,"523 Bank Ln, Highwood, IL 60040, USA"
21801,Imperial Premium Beer Ltda.,,,
24757,Benny Brewing Company,41.2225584,-75.9405282,"1429 Sans Souci Pkwy, Wilkes-Barre, PA 18706, USA"
2098,Terminal Gravity Brewing Company,45.4191496,-117.2715404,"803 School St, Enterprise, OR 97828, USA"
16319,Brasserie Nationale (Bofferding),49.5670118,5.911857400000001,"2 Boulevard J-F Kennedy, 4930 Käerjeng, Luxembourg"
14484,Shamrock Brewing Co.,38.2696283,-104.6077502,"108 W 3rd St, Pueblo, CO 81003, USA"
10541,CucapÃ¡ Brewing Company,32.5745075,-116.6161754,"Paseo José María Morelos y Pavón 750, Industrial, 21430 Tecate, B.C., Mexico"
10154,Abbey Bells Brewery,,,
15610,"Louisiane Brewhouse, Nha Trang",12.2314518,109.198658,"Lô 29 Trần Phú, Lộc Thọ, Thành phố Nha Trang, Khánh Hòa 650000, Vietnam"
16386,O'so Brewing Company,44.4519502,-89.5247859,"3028 Village Park, Plover, WI 54467, USA"
5430,Kolos OAO/ Ledyanoy Stakanchik,,,
1068,Brauerei Gilde,52.3536175,9.755224799999999,"Hildesheimer Str. 132, 30173 Hannover, Germany"
26409,Ancient Lakes Brewing Company,47.2326234,-119.8700348,"1004 F St SW #12, Quincy, WA 98848, USA"
5246,Cannon Brew Pub,32.4663515,-84.9937114,"1041 Broadway, Columbus, GA 31901, USA"
394,Stoudts Brewing Co.,40.2371232,-76.0721284,"2800 N Reading Rd, Adamstown, PA 19501, USA"
1315,Klosterbrauerei Weltenburg,48.89834099999999,11.81895,"Asamstraße 32, 93309 Kelheim, Germany"
13397,Mountaineer Brewing Co.,39.630501,-79.958062,"1291 University Ave, Morgantown, WV 26505, USA"
564,Island Cafe & Brew Pub,45.603536,-122.6633851,"250 NE Tomahawk Island Dr #22, Portland, OR 97217, USA"
10818,BauerÂ´s Marchfelder StorchenbrÃ¤u,,,
4898,Cheriton Brewery,51.050891,-1.172522,"Brandy Mt Cottage, Cheriton, New Alresford, Alresford SO24 0QQ, UK"
5510,Browar Kiper,51.37790829999999,19.6767175,"Browarna 5, 97-300 Piotrków Trybunalski, Poland"
25949,Olympic Brewery S.A.,47.58893,-122.6305243,"2817 Wheaton Way # 102, Bremerton, WA 98310, USA"
9816,Bryggeriet Refsvindinge,55.29096699999999,10.7026613,"Nyborgvej 80, 5853 Ørbæk, Denmark"
2414,Tied House Cafe & Brewery,37.3947099,-122.0806799,"954 Villa St, Mountain View, CA 94041, USA"
2618,Pirinsko Pivo,,,
18636,ÃlgerÃ° ReykjavÃ­kur,,,
14338,Piccolo Birrificio,43.5579224,10.3136578,"Via Solferino, 69, 57122 Livorno LI, Italy"
6272,CANOE Brewpub,48.4299437,-123.3708529,"450 Swift St, Victoria, BC V8W 1S3, Canada"
15737,Grumpy's Brewhaus,-35.018062,138.787674,"827 Mount Barker Rd, Verdun SA 5245, Australia"
13831,Taps Brewing Co. Inc.,43.10630339999999,-79.07095629999999,"4680 Queen St, Niagara Falls, ON L2E 2L8, Canada"
16890,Livu Alus,,,
6836,Martins BrÃ¤u Erste Freiburger Gasthausbrauerei,47.993679,7.8496001,"Kaiser-Joseph-Straße 237, 79098 Freiburg im Breisgau, Germany"
13228,Green Man Brewery,35.5886111,-82.5530556,"27 Buxton Ave, Asheville, NC 28801, USA"
18225,Nail Creek Pub & Brewery,43.1036606,-75.2437244,"720 Varick St, Utica, NY 13502, USA"
3701,Okhotsk Brewery Inc.,,,
21865,Ninkasi Fabriques,,,
