Status,Beer_Beerid
Retired (no longer brewed),68340
Rotating/Seasonal,73083
Retired (no longer brewed),72880
Rotating/Seasonal,66300
Rotating/Seasonal,66299
Retired (no longer brewed),22684
Rotating/Seasonal,74451
Rotating/Seasonal,69779
Year-round,47339
Year-round,47338
Retired (no longer brewed),31844
Retired (no longer brewed),14508
Retired (no longer brewed),8903
Retired (no longer brewed),55044
Year-round,68745
Retired (no longer brewed),68887
Retired (no longer brewed),66782
Rotating/Seasonal,75416
Retired (no longer brewed),67112
Retired (no longer brewed),63363
Retired (no longer brewed),64079
Retired (no longer brewed),65110
Retired (no longer brewed),66467
Year-round,73917
Rotating/Seasonal,75544
Retired (no longer brewed),38089
Retired (no longer brewed),20573
Retired (no longer brewed),20572
Retired (no longer brewed),11822
Retired (no longer brewed),11818
Retired (no longer brewed),11821
Year-round,2502
Retired (no longer brewed),11920
Retired (no longer brewed),63979
Retired (no longer brewed),64742
Retired (no longer brewed),64740
Year-round,16056
Rotating/Seasonal,64743
Year-round,60237
Rotating/Seasonal,65190
Retired (no longer brewed),28489
Retired (no longer brewed),47192
Retired (no longer brewed),47188
Rotating/Seasonal,71245
Retired (no longer brewed),31764
Retired (no longer brewed),12814
Retired (no longer brewed),42078
Retired (no longer brewed),31761
Retired (no longer brewed),57828
Retired (no longer brewed),16097
Retired (no longer brewed),16151
Retired (no longer brewed),16201
Retired (no longer brewed),16334
Year-round,77316
Retired (no longer brewed),72072
Retired (no longer brewed),19198
Retired (no longer brewed),19197
Year-round,54291
Retired (no longer brewed),29514
Retired (no longer brewed),29126
Year-round,74867
Year-round,52814
Retired (no longer brewed),33906
Year-round,58936
Retired (no longer brewed),36601
Retired (no longer brewed),30864
Retired (no longer brewed),31276
Year-round,61705
Retired (no longer brewed),15940
Rotating/Seasonal,70340
Rotating/Seasonal,75686
Retired (no longer brewed),15941
Rotating/Seasonal,41538
Retired (no longer brewed),26692
Retired (no longer brewed),36440
Retired (no longer brewed),57645
Rotating/Seasonal,51937
Retired (no longer brewed),34195
Retired (no longer brewed),74616
Retired (no longer brewed),59910
Rotating/Seasonal,26519
Retired (no longer brewed),47355
Retired (no longer brewed),41676
Retired (no longer brewed),36434
Rotating/Seasonal,62017
Year-round,35802
Year-round,53178
Retired (no longer brewed),32364
Year-round,73977
Year-round,74949
Rotating/Seasonal,73710
Retired (no longer brewed),20466
Rotating/Seasonal,59784
Retired (no longer brewed),27781
Retired (no longer brewed),29215
Retired (no longer brewed),71137
Retired (no longer brewed),37349
Retired (no longer brewed),38626
Retired (no longer brewed),37348
Retired (no longer brewed),35264
Retired (no longer brewed),35266
Rotating/Seasonal,70180
Rotating/Seasonal,69945
Year-round,22581
Year-round,54576
Year-round,47001
Retired (no longer brewed),49619
Retired (no longer brewed),36113
Year-round,33454
Year-round,33402
Year-round,71472
Retired (no longer brewed),36114
Retired (no longer brewed),36112
Year-round,67012
Year-round,62236
Retired (no longer brewed),42107
Year-round,52187
Retired (no longer brewed),31283
Rotating/Seasonal,70359
Retired (no longer brewed),20602
Retired (no longer brewed),11182
Year-round,51927
Year-round,73589
Rotating/Seasonal,62551
Rotating/Seasonal,50458
Rotating/Seasonal,46533
Rotating/Seasonal,48706
Rotating/Seasonal,55617
Rotating/Seasonal,46535
Year-round,61042
Retired (no longer brewed),26398
Retired (no longer brewed),25289
Retired (no longer brewed),67320
Year-round,74129
Year-round,67494
Retired (no longer brewed),46949
Retired (no longer brewed),61437
Retired (no longer brewed),22659
Retired (no longer brewed),25735
Retired (no longer brewed),39352
Year-round,74152
Year-round,51058
Rotating/Seasonal,49792
Retired (no longer brewed),44037
Retired (no longer brewed),70303
Rotating/Seasonal,76424
Rotating/Seasonal,16646
Rotating/Seasonal,52665
Rotating/Seasonal,45784
Retired (no longer brewed),70661
Retired (no longer brewed),40210
Retired (no longer brewed),76409
Retired (no longer brewed),20498
Rotating/Seasonal,74217
Year-round,56053
Retired (no longer brewed),46093
Rotating/Seasonal,69840
Rotating/Seasonal,48210
Rotating/Seasonal,69834
Year-round,57697
Rotating/Seasonal,57669
Rotating/Seasonal,75204
Retired (no longer brewed),61742
Year-round,57696
Rotating/Seasonal,57464
Retired (no longer brewed),63359
Rotating/Seasonal,76355
Retired (no longer brewed),38851
Retired (no longer brewed),16457
Retired (no longer brewed),16489
Retired (no longer brewed),15752
Retired (no longer brewed),37818
Retired (no longer brewed),16435
Retired (no longer brewed),15972
Retired (no longer brewed),16137
Retired (no longer brewed),16041
Year-round,70435
Retired (no longer brewed),38019
Year-round,69570
Retired (no longer brewed),33049
Retired (no longer brewed),22915
Retired (no longer brewed),31491
Year-round,72046
Year-round,72045
Retired (no longer brewed),12612
Retired (no longer brewed),12656
Retired (no longer brewed),29200
Retired (no longer brewed),20465
Retired (no longer brewed),15541
Retired (no longer brewed),25605
Retired (no longer brewed),20530
Retired (no longer brewed),27789
Retired (no longer brewed),26661
Retired (no longer brewed),26995
Retired (no longer brewed),14353
Retired (no longer brewed),14352
Retired (no longer brewed),21015
Retired (no longer brewed),52396
Retired (no longer brewed),50930
Retired (no longer brewed),50926
Retired (no longer brewed),53162
Retired (no longer brewed),20508
Retired (no longer brewed),76472
Retired (no longer brewed),70479
Retired (no longer brewed),64354
Retired (no longer brewed),50933
Retired (no longer brewed),53164
Rotating/Seasonal,76474
Retired (no longer brewed),27919
Retired (no longer brewed),50928
Retired (no longer brewed),53163
Retired (no longer brewed),8813
Retired (no longer brewed),9251
Retired (no longer brewed),9885
Year-round,67185
Year-round,56863
Retired (no longer brewed),38824
Retired (no longer brewed),34057
Year-round,57412
Retired (no longer brewed),16165
Year-round,57411
Retired (no longer brewed),13239
Retired (no longer brewed),64539
Retired (no longer brewed),12823
Retired (no longer brewed),74800
Rotating/Seasonal,61540
Retired (no longer brewed),59171
Retired (no longer brewed),34299
Rotating/Seasonal,66345
Retired (no longer brewed),34914
Retired (no longer brewed),41764
Rotating/Seasonal,50879
Retired (no longer brewed),22775
