Status,Beer_Beerid
Retired (no longer brewed),64745
Retired (no longer brewed),29227
Retired (no longer brewed),38196
Retired (no longer brewed),55601
Retired (no longer brewed),70026
Retired (no longer brewed),31507
Rotating/Seasonal,55950
Retired (no longer brewed),31508
Retired (no longer brewed),41490
Retired (no longer brewed),9242
Retired (no longer brewed),9241
Rotating/Seasonal,49583
Retired (no longer brewed),41491
Rotating/Seasonal,51733
Retired (no longer brewed),9422
Retired (no longer brewed),9239
Rotating/Seasonal,53263
Rotating/Seasonal,50089
Retired (no longer brewed),73234
Retired (no longer brewed),73239
Retired (no longer brewed),73241
Retired (no longer brewed),73235
Retired (no longer brewed),73242
Retired (no longer brewed),73237
Retired (no longer brewed),73240
Year-round,74946
Year-round,63219
Retired (no longer brewed),20038
Year-round,63117
Retired (no longer brewed),28096
Retired (no longer brewed),19459
Retired (no longer brewed),54411
Year-round,41647
Retired (no longer brewed),31080
Retired (no longer brewed),17526
Retired (no longer brewed),13006
Retired (no longer brewed),24296
Retired (no longer brewed),53449
Retired (no longer brewed),40629
Retired (no longer brewed),53908
Retired (no longer brewed),52426
Retired (no longer brewed),40631
Retired (no longer brewed),53907
Retired (no longer brewed),75745
Retired (no longer brewed),74768
Retired (no longer brewed),59849
Retired (no longer brewed),73941
Retired (no longer brewed),21772
Retired (no longer brewed),10645
Retired (no longer brewed),31427
Year-round,62056
Retired (no longer brewed),31426
Retired (no longer brewed),7842
Year-round,77213
Retired (no longer brewed),7956
Retired (no longer brewed),65556
Retired (no longer brewed),28433
Retired (no longer brewed),27362
Retired (no longer brewed),23793
Retired (no longer brewed),20243
Retired (no longer brewed),6331
Year-round,70135
Year-round,56404
Retired (no longer brewed),30702
Retired (no longer brewed),6332
Retired (no longer brewed),6417
Retired (no longer brewed),23795
Retired (no longer brewed),6400
Retired (no longer brewed),30704
Retired (no longer brewed),6330
Retired (no longer brewed),23913
Retired (no longer brewed),6397
Retired (no longer brewed),30776
Retired (no longer brewed),12143
Year-round,50215
Retired (no longer brewed),25812
Retired (no longer brewed),11958
Retired (no longer brewed),28430
Retired (no longer brewed),28431
Retired (no longer brewed),47843
Retired (no longer brewed),55339
Retired (no longer brewed),51192
Retired (no longer brewed),50503
Retired (no longer brewed),36757
Rotating/Seasonal,64849
Retired (no longer brewed),30685
Rotating/Seasonal,54859
Retired (no longer brewed),30790
Retired (no longer brewed),25405
Retired (no longer brewed),13243
Retired (no longer brewed),19047
Retired (no longer brewed),33783
Retired (no longer brewed),19551
Retired (no longer brewed),30686
Retired (no longer brewed),34722
Retired (no longer brewed),13241
Retired (no longer brewed),32973
Year-round,73357
Year-round,71004
Rotating/Seasonal,51466
Rotating/Seasonal,73368
Year-round,71384
Year-round,71252
Year-round,71251
Year-round,71382
Retired (no longer brewed),36982
Year-round,48993
Year-round,75788
Rotating/Seasonal,50411
Year-round,75787
Year-round,74627
Year-round,18279
Rotating/Seasonal,27488
Rotating/Seasonal,13276
Retired (no longer brewed),49071
Retired (no longer brewed),52742
Year-round,75063
Retired (no longer brewed),30608
Retired (no longer brewed),69255
Year-round,49416
Retired (no longer brewed),41980
Retired (no longer brewed),41130
Retired (no longer brewed),41981
Year-round,50267
Retired (no longer brewed),38959
Retired (no longer brewed),55904
Retired (no longer brewed),74120
Rotating/Seasonal,47170
Retired (no longer brewed),23568
Retired (no longer brewed),18702
Retired (no longer brewed),42273
Retired (no longer brewed),18449
Retired (no longer brewed),18448
Retired (no longer brewed),42274
Year-round,72600
Year-round,70612
Retired (no longer brewed),1537
Year-round,1538
Retired (no longer brewed),38766
Rotating/Seasonal,60224
Rotating/Seasonal,75141
Rotating/Seasonal,60225
Retired (no longer brewed),31012
Retired (no longer brewed),32283
Year-round,74536
Year-round,73769
Rotating/Seasonal,75343
Retired (no longer brewed),71231
Rotating/Seasonal,73572
Rotating/Seasonal,66484
Retired (no longer brewed),70703
Retired (no longer brewed),75341
Rotating/Seasonal,75984
Rotating/Seasonal,76111
Retired (no longer brewed),68388
Retired (no longer brewed),76505
Retired (no longer brewed),69384
Retired (no longer brewed),76998
Retired (no longer brewed),71810
Rotating/Seasonal,76999
Retired (no longer brewed),77116
Retired (no longer brewed),50980
Year-round,61477
Year-round,46179
Year-round,49707
Retired (no longer brewed),67615
Retired (no longer brewed),34151
Retired (no longer brewed),69609
Retired (no longer brewed),61938
Retired (no longer brewed),67813
Retired (no longer brewed),34393
Retired (no longer brewed),43803
Retired (no longer brewed),68088
Retired (no longer brewed),34153
Retired (no longer brewed),26353
Year-round,66527
Retired (no longer brewed),73950
Retired (no longer brewed),66528
Retired (no longer brewed),75963
Retired (no longer brewed),28730
Year-round,71318
Year-round,51845
Year-round,60309
Year-round,53599
Year-round,51898
Year-round,64910
Year-round,51931
Year-round,51804
Year-round,51622
Retired (no longer brewed),33043
Retired (no longer brewed),12492
Retired (no longer brewed),46824
Retired (no longer brewed),18705
Retired (no longer brewed),75891
Retired (no longer brewed),17525
Retired (no longer brewed),46089
Retired (no longer brewed),41116
Rotating/Seasonal,74868
Retired (no longer brewed),65689
Retired (no longer brewed),509
Retired (no longer brewed),47596
Retired (no longer brewed),46856
Retired (no longer brewed),46825
Retired (no longer brewed),51057
Retired (no longer brewed),18203
Retired (no longer brewed),503
Rotating/Seasonal,55461
Retired (no longer brewed),69968
Retired (no longer brewed),74880
Retired (no longer brewed),69144
Retired (no longer brewed),71164
Rotating/Seasonal,65486
Retired (no longer brewed),75890
Retired (no longer brewed),506
Retired (no longer brewed),563
Rotating/Seasonal,45726
Retired (no longer brewed),72009
Retired (no longer brewed),11899
Retired (no longer brewed),72394
Retired (no longer brewed),31625
Retired (no longer brewed),12221
Retired (no longer brewed),20480
Retired (no longer brewed),74662
Retired (no longer brewed),30247
Retired (no longer brewed),70770
Retired (no longer brewed),23563
Retired (no longer brewed),17557
Retired (no longer brewed),66976
Retired (no longer brewed),21751
Retired (no longer brewed),21762
Retired (no longer brewed),67946
Retired (no longer brewed),17072
Retired (no longer brewed),75699
Rotating/Seasonal,75697
Retired (no longer brewed),38213
Retired (no longer brewed),52312
Retired (no longer brewed),25422
Retired (no longer brewed),21824
Year-round,74870
Retired (no longer brewed),37046
Rotating/Seasonal,57792
Retired (no longer brewed),38943
Retired (no longer brewed),68867
Retired (no longer brewed),38619
Retired (no longer brewed),18604
Rotating/Seasonal,77198
Rotating/Seasonal,77199
Retired (no longer brewed),14397
Retired (no longer brewed),74774
Retired (no longer brewed),62820
Year-round,62531
Year-round,15291
Retired (no longer brewed),42195
Year-round,23514
Year-round,55076
Retired (no longer brewed),7828
Retired (no longer brewed),6951
Retired (no longer brewed),27785
Retired (no longer brewed),21269
Retired (no longer brewed),63611
Retired (no longer brewed),26350
Year-round,72130
Retired (no longer brewed),29241
Year-round,38808
Retired (no longer brewed),38807
Rotating/Seasonal,69362
Rotating/Seasonal,52869
Rotating/Seasonal,69373
Retired (no longer brewed),39677
Year-round,56838
Year-round,55729
Rotating/Seasonal,33816
Rotating/Seasonal,45318
Rotating/Seasonal,29296
Rotating/Seasonal,29608
Rotating/Seasonal,33116
Rotating/Seasonal,40004
Retired (no longer brewed),20860
Retired (no longer brewed),72618
Retired (no longer brewed),72118
Retired (no longer brewed),57994
Retired (no longer brewed),11734
Retired (no longer brewed),7817
Retired (no longer brewed),71342
Retired (no longer brewed),62726
Year-round,52123
Year-round,1546
Year-round,57990
Year-round,57479
Retired (no longer brewed),10466
Retired (no longer brewed),10464
Retired (no longer brewed),10465
Retired (no longer brewed),33040
Retired (no longer brewed),35152
Retired (no longer brewed),51520
Rotating/Seasonal,65767
Year-round,75522
Year-round,71703
Retired (no longer brewed),75848
Retired (no longer brewed),73252
Retired (no longer brewed),50815
