Status,Beer_Beerid
Year-round,73708
Retired (no longer brewed),75844
Retired (no longer brewed),75843
Retired (no longer brewed),75845
Rotating/Seasonal,60912
Rotating/Seasonal,60911
Rotating/Seasonal,73650
Year-round,39735
Retired (no longer brewed),35832
Rotating/Seasonal,76015
Retired (no longer brewed),66989
Rotating/Seasonal,76604
Rotating/Seasonal,75156
Retired (no longer brewed),74090
Retired (no longer brewed),41987
Retired (no longer brewed),76603
Retired (no longer brewed),62346
Rotating/Seasonal,62617
Rotating/Seasonal,65476
Rotating/Seasonal,76513
Retired (no longer brewed),44286
Retired (no longer brewed),68377
Year-round,72024
Year-round,75733
Year-round,64827
Rotating/Seasonal,76156
Year-round,68039
Rotating/Seasonal,45023
Retired (no longer brewed),74793
Rotating/Seasonal,62540
Retired (no longer brewed),74481
Retired (no longer brewed),59962
Retired (no longer brewed),59474
Retired (no longer brewed),29899
Rotating/Seasonal,45197
Retired (no longer brewed),36271
Retired (no longer brewed),30659
Rotating/Seasonal,63320
Year-round,21645
Retired (no longer brewed),7795
Rotating/Seasonal,55185
Retired (no longer brewed),40983
Retired (no longer brewed),62625
Retired (no longer brewed),60091
Retired (no longer brewed),32021
Retired (no longer brewed),69422
Year-round,55282
Retired (no longer brewed),71084
Retired (no longer brewed),55248
Retired (no longer brewed),68576
Retired (no longer brewed),73625
Rotating/Seasonal,51805
Year-round,48956
Retired (no longer brewed),10069
Retired (no longer brewed),10072
Retired (no longer brewed),10067
Rotating/Seasonal,65225
Year-round,59609
Rotating/Seasonal,21098
Retired (no longer brewed),75710
Retired (no longer brewed),76464
Retired (no longer brewed),61022
Retired (no longer brewed),59619
Retired (no longer brewed),73064
Rotating/Seasonal,51581
Retired (no longer brewed),68125
Retired (no longer brewed),58604
Retired (no longer brewed),67812
Year-round,49457
Year-round,41319
Year-round,58290
Rotating/Seasonal,65386
Retired (no longer brewed),41915
Year-round,74411
Year-round,65088
Year-round,65087
Year-round,43802
Year-round,43801
Rotating/Seasonal,55911
Retired (no longer brewed),5629
Rotating/Seasonal,69387
Year-round,69620
Rotating/Seasonal,70966
Retired (no longer brewed),43967
Rotating/Seasonal,65429
Retired (no longer brewed),34423
Retired (no longer brewed),35008
Retired (no longer brewed),32396
Retired (no longer brewed),34424
Year-round,57502
Year-round,57501
Retired (no longer brewed),26265
Year-round,14620
Year-round,56123
Retired (no longer brewed),11313
Retired (no longer brewed),31815
Retired (no longer brewed),30106
Retired (no longer brewed),22399
Rotating/Seasonal,52461
Rotating/Seasonal,48122
Rotating/Seasonal,56618
Retired (no longer brewed),26296
Retired (no longer brewed),18769
Retired (no longer brewed),8036
Retired (no longer brewed),48398
Retired (no longer brewed),18823
Retired (no longer brewed),69537
Retired (no longer brewed),8884
Retired (no longer brewed),28688
Year-round,21575
Retired (no longer brewed),61830
Rotating/Seasonal,75929
Retired (no longer brewed),61263
Retired (no longer brewed),34848
Retired (no longer brewed),63550
Rotating/Seasonal,65192
Retired (no longer brewed),65856
Retired (no longer brewed),65857
Retired (no longer brewed),72316
Retired (no longer brewed),70534
Retired (no longer brewed),70201
Rotating/Seasonal,65868
Retired (no longer brewed),55752
Retired (no longer brewed),75821
Retired (no longer brewed),63549
Retired (no longer brewed),55751
Retired (no longer brewed),60833
Retired (no longer brewed),55750
Retired (no longer brewed),67856
Retired (no longer brewed),55748
Retired (no longer brewed),55746
Rotating/Seasonal,27367
Rotating/Seasonal,70314
Retired (no longer brewed),63553
Retired (no longer brewed),27383
Retired (no longer brewed),31199
Rotating/Seasonal,32659
Retired (no longer brewed),70655
Retired (no longer brewed),27063
Retired (no longer brewed),31591
Year-round,59358
Retired (no longer brewed),43745
Year-round,60314
Retired (no longer brewed),73012
Retired (no longer brewed),33953
Retired (no longer brewed),57870
Retired (no longer brewed),23645
Rotating/Seasonal,49042
Retired (no longer brewed),43518
Retired (no longer brewed),73011
Year-round,69855
Year-round,73849
Retired (no longer brewed),32392
Retired (no longer brewed),28020
Year-round,42304
Rotating/Seasonal,69868
Year-round,21069
Year-round,71383
Rotating/Seasonal,64811
Retired (no longer brewed),28795
Retired (no longer brewed),34205
Retired (no longer brewed),30400
Year-round,25025
Year-round,76531
Retired (no longer brewed),66457
Retired (no longer brewed),14005
Retired (no longer brewed),14107
Retired (no longer brewed),42763
Year-round,75042
Retired (no longer brewed),69807
Retired (no longer brewed),39703
Retired (no longer brewed),11890
Retired (no longer brewed),14887
Year-round,57893
Rotating/Seasonal,76482
Year-round,76988
Retired (no longer brewed),68591
Rotating/Seasonal,34721
Retired (no longer brewed),59870
Retired (no longer brewed),7455
Year-round,64786
Retired (no longer brewed),37926
Retired (no longer brewed),74339
Retired (no longer brewed),36102
Retired (no longer brewed),26367
Rotating/Seasonal,71795
Retired (no longer brewed),31008
Rotating/Seasonal,71966
Retired (no longer brewed),31009
Retired (no longer brewed),13199
Retired (no longer brewed),46314
Rotating/Seasonal,74417
Year-round,65690
Retired (no longer brewed),76832
Year-round,65798
Retired (no longer brewed),70668
Rotating/Seasonal,65799
Year-round,56683
Retired (no longer brewed),51433
Retired (no longer brewed),27174
Retired (no longer brewed),51474
Year-round,72350
Retired (no longer brewed),73436
Retired (no longer brewed),74100
Retired (no longer brewed),74752
Retired (no longer brewed),70403
Rotating/Seasonal,73500
Rotating/Seasonal,74751
Rotating/Seasonal,62709
Rotating/Seasonal,72808
Retired (no longer brewed),35011
Retired (no longer brewed),25746
Rotating/Seasonal,66722
Retired (no longer brewed),50511
Year-round,43423
Retired (no longer brewed),14744
Retired (no longer brewed),35269
Retired (no longer brewed),22316
Retired (no longer brewed),71543
Retired (no longer brewed),24904
Retired (no longer brewed),24877
Retired (no longer brewed),61514
Rotating/Seasonal,69134
