Status,Beer_Beerid
Retired (no longer brewed),57914
Year-round,32184
Year-round,46990
Year-round,32202
Year-round,48964
Retired (no longer brewed),27381
Retired (no longer brewed),29144
Year-round,44497
Retired (no longer brewed),77211
Retired (no longer brewed),21598
Rotating/Seasonal,77206
Year-round,72327
Year-round,75938
Year-round,38070
Year-round,39568
Retired (no longer brewed),61288
Retired (no longer brewed),7537
Retired (no longer brewed),3873
Retired (no longer brewed),11404
Retired (no longer brewed),11386
Year-round,73118
Retired (no longer brewed),30779
Year-round,72042
Rotating/Seasonal,59997
Retired (no longer brewed),39312
Rotating/Seasonal,73256
Retired (no longer brewed),11402
Retired (no longer brewed),11398
Retired (no longer brewed),22828
Retired (no longer brewed),15622
Year-round,75920
Retired (no longer brewed),76309
Year-round,76307
Year-round,76311
Year-round,73799
Year-round,60676
Year-round,57137
Year-round,60252
Retired (no longer brewed),53754
Year-round,21621
Retired (no longer brewed),41886
Retired (no longer brewed),27950
Retired (no longer brewed),21618
Retired (no longer brewed),37503
Retired (no longer brewed),12737
Retired (no longer brewed),76743
Retired (no longer brewed),39921
Retired (no longer brewed),40557
Year-round,37932
Retired (no longer brewed),59523
Retired (no longer brewed),51632
Retired (no longer brewed),12184
Retired (no longer brewed),64731
Retired (no longer brewed),51055
Year-round,52126
Year-round,70050
Retired (no longer brewed),28202
Retired (no longer brewed),27665
Retired (no longer brewed),26730
Retired (no longer brewed),7207
Year-round,19258
Rotating/Seasonal,73604
Retired (no longer brewed),37807
Retired (no longer brewed),15837
Retired (no longer brewed),18232
Retired (no longer brewed),38228
Year-round,76777
Rotating/Seasonal,69816
Rotating/Seasonal,77136
Year-round,55388
Retired (no longer brewed),32468
Retired (no longer brewed),32465
Retired (no longer brewed),32467
Retired (no longer brewed),53399
Retired (no longer brewed),53389
Retired (no longer brewed),68751
Retired (no longer brewed),68755
Year-round,75478
Retired (no longer brewed),52062
Retired (no longer brewed),69472
Retired (no longer brewed),57545
Retired (no longer brewed),12127
Retired (no longer brewed),12120
Retired (no longer brewed),12274
Retired (no longer brewed),57189
Rotating/Seasonal,71062
Retired (no longer brewed),54024
Retired (no longer brewed),41466
Year-round,54438
Rotating/Seasonal,74551
Retired (no longer brewed),25391
Retired (no longer brewed),25585
Year-round,16730
Year-round,16718
Year-round,16758
Retired (no longer brewed),41954
Retired (no longer brewed),13633
Year-round,71694
Year-round,76341
Retired (no longer brewed),17520
Retired (no longer brewed),17583
Retired (no longer brewed),18351
Retired (no longer brewed),17611
Year-round,67002
Retired (no longer brewed),40437
Retired (no longer brewed),8046
Retired (no longer brewed),12995
Retired (no longer brewed),54607
Retired (no longer brewed),46830
Year-round,74130
Retired (no longer brewed),26841
Rotating/Seasonal,64718
Retired (no longer brewed),39660
Year-round,9347
Year-round,72639
Year-round,74631
Year-round,69844
Retired (no longer brewed),48714
Retired (no longer brewed),50970
Rotating/Seasonal,55864
Rotating/Seasonal,65592
Retired (no longer brewed),70856
Rotating/Seasonal,55865
Retired (no longer brewed),56647
Retired (no longer brewed),66821
Rotating/Seasonal,51618
Retired (no longer brewed),48735
Retired (no longer brewed),59387
Retired (no longer brewed),53307
Rotating/Seasonal,55091
Rotating/Seasonal,58123
Retired (no longer brewed),59389
Retired (no longer brewed),54586
Retired (no longer brewed),51933
Retired (no longer brewed),66820
Retired (no longer brewed),48713
Retired (no longer brewed),38323
Retired (no longer brewed),38110
Retired (no longer brewed),62355
Year-round,54437
Retired (no longer brewed),15375
Retired (no longer brewed),15376
Retired (no longer brewed),68023
Retired (no longer brewed),33513
Retired (no longer brewed),66193
Retired (no longer brewed),68058
Retired (no longer brewed),73721
Retired (no longer brewed),65291
Retired (no longer brewed),14086
Year-round,51231
Retired (no longer brewed),37983
Retired (no longer brewed),37943
Year-round,58244
Year-round,12049
Year-round,70292
Retired (no longer brewed),75145
Retired (no longer brewed),59935
Rotating/Seasonal,64342
Retired (no longer brewed),75391
Retired (no longer brewed),68032
Retired (no longer brewed),70344
Retired (no longer brewed),73174
Rotating/Seasonal,76233
Retired (no longer brewed),59933
Retired (no longer brewed),66021
Retired (no longer brewed),65290
Rotating/Seasonal,51935
Retired (no longer brewed),53251
Retired (no longer brewed),76234
Rotating/Seasonal,70184
Retired (no longer brewed),63997
Retired (no longer brewed),75147
Retired (no longer brewed),67139
Retired (no longer brewed),70186
Retired (no longer brewed),45487
Retired (no longer brewed),21537
Retired (no longer brewed),73250
Retired (no longer brewed),75144
Retired (no longer brewed),73425
Rotating/Seasonal,73375
Rotating/Seasonal,67147
Retired (no longer brewed),26099
Year-round,26093
Retired (no longer brewed),34486
Retired (no longer brewed),35771
Year-round,69843
Year-round,61050
Retired (no longer brewed),59446
Retired (no longer brewed),28759
Retired (no longer brewed),75458
Retired (no longer brewed),19766
Retired (no longer brewed),20164
Retired (no longer brewed),7921
Retired (no longer brewed),13734
Retired (no longer brewed),61789
Retired (no longer brewed),11740
Rotating/Seasonal,51734
Retired (no longer brewed),59690
Rotating/Seasonal,56214
Retired (no longer brewed),51155
Rotating/Seasonal,52750
Retired (no longer brewed),68818
Retired (no longer brewed),68214
Retired (no longer brewed),76152
Retired (no longer brewed),51154
Retired (no longer brewed),65419
Rotating/Seasonal,52751
Retired (no longer brewed),51157
Retired (no longer brewed),76155
Rotating/Seasonal,60120
Retired (no longer brewed),51156
Retired (no longer brewed),57958
Retired (no longer brewed),59689
Rotating/Seasonal,48193
Retired (no longer brewed),70027
Retired (no longer brewed),70967
Retired (no longer brewed),68620
Retired (no longer brewed),55242
Retired (no longer brewed),76154
Rotating/Seasonal,66773
Retired (no longer brewed),49604
Rotating/Seasonal,45281
Retired (no longer brewed),76149
Year-round,49073
Retired (no longer brewed),27810
Retired (no longer brewed),64715
Retired (no longer brewed),45852
Retired (no longer brewed),10442
Retired (no longer brewed),43077
Retired (no longer brewed),21727
Rotating/Seasonal,61834
Retired (no longer brewed),75931
Retired (no longer brewed),74434
Year-round,61476
Year-round,74093
Retired (no longer brewed),65126
Retired (no longer brewed),39942
Rotating/Seasonal,62075
Year-round,77096
Rotating/Seasonal,68265
Rotating/Seasonal,69533
Retired (no longer brewed),19168
Retired (no longer brewed),20861
Retired (no longer brewed),63146
Retired (no longer brewed),26282
Retired (no longer brewed),76162
Rotating/Seasonal,68086
Retired (no longer brewed),70896
Rotating/Seasonal,72883
Rotating/Seasonal,69540
Year-round,74798
Year-round,74795
Rotating/Seasonal,75334
Rotating/Seasonal,75333
Rotating/Seasonal,75335
Rotating/Seasonal,75097
Year-round,74797
Rotating/Seasonal,75336
Retired (no longer brewed),60485
Retired (no longer brewed),33546
Year-round,69882
Year-round,56309
Rotating/Seasonal,67662
Retired (no longer brewed),13803
Retired (no longer brewed),42442
Retired (no longer brewed),27956
Retired (no longer brewed),38680
Retired (no longer brewed),52714
Retired (no longer brewed),55892
Retired (no longer brewed),4669
Retired (no longer brewed),41027
Retired (no longer brewed),42376
Retired (no longer brewed),34056
Retired (no longer brewed),34254
Retired (no longer brewed),34051
Retired (no longer brewed),42409
Retired (no longer brewed),42350
Retired (no longer brewed),42348
Rotating/Seasonal,60072
Retired (no longer brewed),42408
Retired (no longer brewed),44615
Retired (no longer brewed),26512
Retired (no longer brewed),44618
Retired (no longer brewed),26514
Retired (no longer brewed),44614
Retired (no longer brewed),26496
Retired (no longer brewed),44616
Retired (no longer brewed),14089
Retired (no longer brewed),44617
Retired (no longer brewed),50501
Retired (no longer brewed),2113
Year-round,44498
Year-round,52709
Year-round,74542
Year-round,72110
Year-round,70872
Year-round,76165
Retired (no longer brewed),71109
Retired (no longer brewed),27642
Retired (no longer brewed),31850
Retired (no longer brewed),64199
Retired (no longer brewed),71108
Retired (no longer brewed),31848
Retired (no longer brewed),27643
Retired (no longer brewed),50800
Year-round,35686
Retired (no longer brewed),2123
Retired (no longer brewed),28925
Retired (no longer brewed),40322
Retired (no longer brewed),30326
Retired (no longer brewed),25891
Retired (no longer brewed),29231
Retired (no longer brewed),30430
Retired (no longer brewed),20846
Retired (no longer brewed),30562
Retired (no longer brewed),27264
Retired (no longer brewed),27263
Rotating/Seasonal,50447
Retired (no longer brewed),14434
Rotating/Seasonal,69418
Retired (no longer brewed),54938
Year-round,65431
Retired (no longer brewed),42524
Year-round,29508
Year-round,60162
Retired (no longer brewed),30945
Year-round,63993
Retired (no longer brewed),36623
Retired (no longer brewed),36624
Year-round,48807
Year-round,46060
Retired (no longer brewed),74322
Rotating/Seasonal,75840
Retired (no longer brewed),75479
Retired (no longer brewed),62131
Rotating/Seasonal,75837
Retired (no longer brewed),75838
Retired (no longer brewed),38495
Year-round,70605
Retired (no longer brewed),39671
Rotating/Seasonal,48995
Retired (no longer brewed),20469
Retired (no longer brewed),23561
Year-round,44938
Retired (no longer brewed),15648
Year-round,55246
Rotating/Seasonal,56529
Year-round,58054
Year-round,75064
Rotating/Seasonal,76218
Retired (no longer brewed),42141
Rotating/Seasonal,64146
Rotating/Seasonal,76783
Rotating/Seasonal,76932
Retired (no longer brewed),17573
Retired (no longer brewed),40610
Retired (no longer brewed),27094
Retired (no longer brewed),27055
Retired (no longer brewed),27054
Retired (no longer brewed),27056
Year-round,46184
Retired (no longer brewed),75350
Year-round,44948
Year-round,64272
Year-round,64241
Retired (no longer brewed),70402
Retired (no longer brewed),73193
Retired (no longer brewed),54293
Retired (no longer brewed),12241
Retired (no longer brewed),27635
Retired (no longer brewed),15295
Retired (no longer brewed),26422
Retired (no longer brewed),39598
Retired (no longer brewed),40998
Retired (no longer brewed),39592
Retired (no longer brewed),39295
Retired (no longer brewed),39595
Retired (no longer brewed),39596
Retired (no longer brewed),22507
Year-round,32833
Retired (no longer brewed),22509
Rotating/Seasonal,53969
Retired (no longer brewed),50160
Retired (no longer brewed),31884
Retired (no longer brewed),39779
Retired (no longer brewed),44302
Retired (no longer brewed),30529
Retired (no longer brewed),35959
Retired (no longer brewed),10292
Retired (no longer brewed),13002
Retired (no longer brewed),10291
Retired (no longer brewed),10318
Retired (no longer brewed),10290
Year-round,63192
Year-round,61472
Year-round,61238
Year-round,76857
Retired (no longer brewed),42217
Rotating/Seasonal,44660
Retired (no longer brewed),39672
Retired (no longer brewed),16844
Retired (no longer brewed),14458
Retired (no longer brewed),57915
Retired (no longer brewed),75308
Retired (no longer brewed),38739
Retired (no longer brewed),60248
Rotating/Seasonal,53690
Retired (no longer brewed),73842
Rotating/Seasonal,60249
Rotating/Seasonal,19806
Retired (no longer brewed),60247
Retired (no longer brewed),33919
Retired (no longer brewed),38761
Retired (no longer brewed),36159
Retired (no longer brewed),32072
Retired (no longer brewed),5501
Year-round,10827
Year-round,69690
Retired (no longer brewed),19372
Retired (no longer brewed),19371
Rotating/Seasonal,48919
Retired (no longer brewed),23983
Retired (no longer brewed),38684
Rotating/Seasonal,59914
Retired (no longer brewed),44211
Rotating/Seasonal,67401
Retired (no longer brewed),20683
Retired (no longer brewed),17895
Retired (no longer brewed),52630
Retired (no longer brewed),22782
Rotating/Seasonal,74289
Retired (no longer brewed),33999
Retired (no longer brewed),29239
Retired (no longer brewed),24359
Retired (no longer brewed),16735
Rotating/Seasonal,55395
Rotating/Seasonal,69126
Retired (no longer brewed),17898
Retired (no longer brewed),16734
Retired (no longer brewed),37404
Retired (no longer brewed),33998
Retired (no longer brewed),16736
Retired (no longer brewed),20684
Retired (no longer brewed),63487
Year-round,73491
Rotating/Seasonal,33779
Rotating/Seasonal,50641
Rotating/Seasonal,66926
Retired (no longer brewed),9057
Retired (no longer brewed),28451
Retired (no longer brewed),36311
Retired (no longer brewed),38311
Retired (no longer brewed),36305
Retired (no longer brewed),29225
Rotating/Seasonal,72486
Retired (no longer brewed),33781
Retired (no longer brewed),41478
Retired (no longer brewed),30735
Year-round,52625
Rotating/Seasonal,73398
Rotating/Seasonal,66187
Retired (no longer brewed),36318
Retired (no longer brewed),41479
Rotating/Seasonal,66185
Rotating/Seasonal,72274
Year-round,67029
Retired (no longer brewed),60952
Retired (no longer brewed),62657
Retired (no longer brewed),21507
Retired (no longer brewed),55718
Retired (no longer brewed),55717
Retired (no longer brewed),63018
Year-round,70579
Retired (no longer brewed),51499
Retired (no longer brewed),42994
Retired (no longer brewed),51706
Retired (no longer brewed),49412
Year-round,32604
Year-round,32606
Retired (no longer brewed),15432
Year-round,69100
Retired (no longer brewed),10091
Retired (no longer brewed),70423
Retired (no longer brewed),66724
Retired (no longer brewed),68201
Retired (no longer brewed),68829
Retired (no longer brewed),70420
Retired (no longer brewed),64309
Retired (no longer brewed),70422
Retired (no longer brewed),68202
Retired (no longer brewed),70421
Retired (no longer brewed),64311
Retired (no longer brewed),2589
Rotating/Seasonal,67018
Rotating/Seasonal,67019
Year-round,77064
Retired (no longer brewed),25040
Retired (no longer brewed),25038
Retired (no longer brewed),25037
Retired (no longer brewed),25039
Retired (no longer brewed),15928
Retired (no longer brewed),15939
Year-round,70157
Year-round,70159
Year-round,70112
Rotating/Seasonal,51574
Retired (no longer brewed),21315
Retired (no longer brewed),41513
Retired (no longer brewed),44571
Year-round,38478
Retired (no longer brewed),76178
Retired (no longer brewed),76182
Retired (no longer brewed),76383
