Status,Beer_Beerid
Retired (no longer brewed),7896
Retired (no longer brewed),20712
Retired (no longer brewed),12908
Year-round,73446
Rotating/Seasonal,45002
Retired (no longer brewed),41851
Retired (no longer brewed),51852
Rotating/Seasonal,73362
Rotating/Seasonal,45651
Retired (no longer brewed),40656
Retired (no longer brewed),69217
Retired (no longer brewed),71982
Retired (no longer brewed),55426
Retired (no longer brewed),41850
Retired (no longer brewed),3847
Rotating/Seasonal,53170
Retired (no longer brewed),3614
Retired (no longer brewed),19733
Rotating/Seasonal,53802
Year-round,72351
Retired (no longer brewed),17034
Retired (no longer brewed),32639
Retired (no longer brewed),41534
Retired (no longer brewed),11468
Year-round,77128
Year-round,25937
Retired (no longer brewed),38302
Rotating/Seasonal,65430
Rotating/Seasonal,61519
Retired (no longer brewed),25246
Retired (no longer brewed),41766
Rotating/Seasonal,55443
Retired (no longer brewed),30782
Retired (no longer brewed),56964
Retired (no longer brewed),65432
Retired (no longer brewed),21290
Retired (no longer brewed),25024
Retired (no longer brewed),44025
Rotating/Seasonal,61523
Rotating/Seasonal,74293
Retired (no longer brewed),60008
Retired (no longer brewed),43707
Retired (no longer brewed),36687
Retired (no longer brewed),23214
Retired (no longer brewed),19977
Rotating/Seasonal,50162
Rotating/Seasonal,49039
Rotating/Seasonal,52231
Retired (no longer brewed),49037
Retired (no longer brewed),31136
Retired (no longer brewed),24128
Retired (no longer brewed),23705
Retired (no longer brewed),70543
Year-round,52482
Retired (no longer brewed),23676
Retired (no longer brewed),65451
Retired (no longer brewed),60097
Retired (no longer brewed),56318
Retired (no longer brewed),73432
Retired (no longer brewed),54740
Retired (no longer brewed),64035
Retired (no longer brewed),75250
Retired (no longer brewed),57478
Retired (no longer brewed),56102
Retired (no longer brewed),72788
Retired (no longer brewed),60099
Retired (no longer brewed),29258
Retired (no longer brewed),24379
Retired (no longer brewed),36793
Retired (no longer brewed),24234
Retired (no longer brewed),72294
Retired (no longer brewed),64971
Retired (no longer brewed),27987
Retired (no longer brewed),67957
Retired (no longer brewed),32968
Retired (no longer brewed),49896
Retired (no longer brewed),29216
Rotating/Seasonal,70812
Rotating/Seasonal,68908
Rotating/Seasonal,70813
Retired (no longer brewed),55669
Rotating/Seasonal,48509
Rotating/Seasonal,68634
Rotating/Seasonal,64897
Rotating/Seasonal,47078
Retired (no longer brewed),73111
Retired (no longer brewed),27621
Year-round,72557
Retired (no longer brewed),72559
Year-round,76594
Year-round,72556
Year-round,74667
Year-round,65630
Retired (no longer brewed),49682
Year-round,76317
Year-round,54661
Year-round,39127
Year-round,39394
Year-round,39108
Retired (no longer brewed),54899
Retired (no longer brewed),66703
Rotating/Seasonal,51180
Rotating/Seasonal,68047
Year-round,58480
Year-round,32089
Year-round,32086
Year-round,73990
Year-round,66061
Retired (no longer brewed),38826
Year-round,69937
Retired (no longer brewed),31486
Retired (no longer brewed),31590
Year-round,65319
Retired (no longer brewed),37428
Retired (no longer brewed),31617
Retired (no longer brewed),76621
Retired (no longer brewed),52909
Rotating/Seasonal,55261
Retired (no longer brewed),22460
Retired (no longer brewed),27357
Retired (no longer brewed),49489
Retired (no longer brewed),16686
Retired (no longer brewed),76258
Retired (no longer brewed),76227
Retired (no longer brewed),76252
Retired (no longer brewed),76175
Retired (no longer brewed),76173
Retired (no longer brewed),41594
Retired (no longer brewed),76250
Retired (no longer brewed),76217
Retired (no longer brewed),41593
Retired (no longer brewed),33831
Retired (no longer brewed),40560
