Status,Beer_Beerid
Year-round,50407
Retired (no longer brewed),36032
Retired (no longer brewed),11315
Retired (no longer brewed),74584
Year-round,55811
Retired (no longer brewed),10280
Retired (no longer brewed),10281
Retired (no longer brewed),10282
Rotating/Seasonal,54280
Rotating/Seasonal,60412
Year-round,72387
Year-round,74517
Year-round,61888
Year-round,74371
Year-round,59040
Retired (no longer brewed),27513
Retired (no longer brewed),15729
Retired (no longer brewed),17310
Retired (no longer brewed),11695
Retired (no longer brewed),18253
Retired (no longer brewed),21311
Year-round,18264
Retired (no longer brewed),18260
Retired (no longer brewed),20753
Retired (no longer brewed),18257
Rotating/Seasonal,44645
Retired (no longer brewed),34335
Retired (no longer brewed),18247
Year-round,18262
Year-round,18236
Retired (no longer brewed),29248
Retired (no longer brewed),18263
Year-round,51786
Retired (no longer brewed),18239
Retired (no longer brewed),18234
Retired (no longer brewed),18252
Rotating/Seasonal,59795
Year-round,48062
Rotating/Seasonal,48547
Rotating/Seasonal,69565
Retired (no longer brewed),64337
Rotating/Seasonal,59792
Year-round,63786
Retired (no longer brewed),36209
Retired (no longer brewed),25848
Rotating/Seasonal,67175
Rotating/Seasonal,63785
Retired (no longer brewed),32894
Year-round,72388
Retired (no longer brewed),25593
Retired (no longer brewed),24164
Rotating/Seasonal,59435
Year-round,55934
Retired (no longer brewed),21570
Year-round,56884
Year-round,43117
Year-round,75457
Retired (no longer brewed),31388
Retired (no longer brewed),25634
Retired (no longer brewed),23988
Retired (no longer brewed),27494
Year-round,41691
Rotating/Seasonal,49651
Year-round,69088
Retired (no longer brewed),10453
Rotating/Seasonal,76617
Retired (no longer brewed),57494
Year-round,61385
Year-round,57565
Retired (no longer brewed),57497
Year-round,57495
Year-round,77140
Retired (no longer brewed),36509
Retired (no longer brewed),36080
Retired (no longer brewed),43599
Year-round,77078
Year-round,69960
Year-round,62753
Year-round,71711
Retired (no longer brewed),28422
Retired (no longer brewed),74263
Rotating/Seasonal,62301
Rotating/Seasonal,74701
Rotating/Seasonal,62849
Year-round,52447
Year-round,66286
Year-round,63686
Year-round,66255
Year-round,69658
Year-round,68465
Year-round,68467
Year-round,68466
Year-round,68468
Year-round,61581
Year-round,57754
Year-round,71455
Rotating/Seasonal,71454
Rotating/Seasonal,69574
Year-round,57970
Year-round,60733
Retired (no longer brewed),12110
Retired (no longer brewed),12112
Retired (no longer brewed),66480
Retired (no longer brewed),12340
Retired (no longer brewed),39510
Retired (no longer brewed),31660
Retired (no longer brewed),31232
Rotating/Seasonal,76882
Retired (no longer brewed),40506
Year-round,76042
Year-round,58311
Year-round,66657
Year-round,67370
Year-round,66658
Retired (no longer brewed),12593
Retired (no longer brewed),30506
Retired (no longer brewed),42853
Retired (no longer brewed),36719
Retired (no longer brewed),37050
Retired (no longer brewed),12588
Retired (no longer brewed),22627
Retired (no longer brewed),17101
Year-round,74154
Retired (no longer brewed),11194
Year-round,59857
Retired (no longer brewed),30289
Retired (no longer brewed),22625
Retired (no longer brewed),59855
Retired (no longer brewed),10227
Retired (no longer brewed),60210
Retired (no longer brewed),10617
Retired (no longer brewed),34736
Year-round,39943
Retired (no longer brewed),10684
Retired (no longer brewed),30953
Retired (no longer brewed),10424
Rotating/Seasonal,65609
Rotating/Seasonal,69600
Retired (no longer brewed),66505
Rotating/Seasonal,72089
Year-round,64286
Retired (no longer brewed),21146
Retired (no longer brewed),9338
Year-round,75181
Year-round,47831
Year-round,74535
Retired (no longer brewed),53402
Year-round,53953
Year-round,12263
Year-round,53952
Retired (no longer brewed),17518
Retired (no longer brewed),17515
Year-round,55277
Retired (no longer brewed),38881
Retired (no longer brewed),76705
Retired (no longer brewed),41984
Retired (no longer brewed),50962
Year-round,62993
Rotating/Seasonal,65057
Rotating/Seasonal,65059
Rotating/Seasonal,75800
Rotating/Seasonal,70298
Retired (no longer brewed),30276
Rotating/Seasonal,73827
Rotating/Seasonal,67971
Rotating/Seasonal,65058
Retired (no longer brewed),63303
Retired (no longer brewed),32326
Year-round,42083
Year-round,34063
Retired (no longer brewed),58630
Retired (no longer brewed),58631
Retired (no longer brewed),8028
Year-round,53177
Rotating/Seasonal,73521
Rotating/Seasonal,73495
Rotating/Seasonal,33887
Year-round,33886
Year-round,33817
Retired (no longer brewed),40115
Retired (no longer brewed),61142
Retired (no longer brewed),68136
Retired (no longer brewed),69453
Retired (no longer brewed),71578
Retired (no longer brewed),69264
Retired (no longer brewed),69265
Retired (no longer brewed),65699
Retired (no longer brewed),57313
Year-round,71344
Year-round,74200
Retired (no longer brewed),10029
Retired (no longer brewed),10036
Retired (no longer brewed),41548
Retired (no longer brewed),9147
Retired (no longer brewed),19677
Retired (no longer brewed),44159
Retired (no longer brewed),19782
Retired (no longer brewed),21469
Retired (no longer brewed),23317
Retired (no longer brewed),41504
Retired (no longer brewed),57791
Retired (no longer brewed),49343
Year-round,71088
Year-round,76161
Retired (no longer brewed),18761
Retired (no longer brewed),76585
Retired (no longer brewed),74737
Retired (no longer brewed),71368
Retired (no longer brewed),70908
Rotating/Seasonal,60623
Retired (no longer brewed),34367
Retired (no longer brewed),75997
Retired (no longer brewed),71193
Rotating/Seasonal,62161
Retired (no longer brewed),68726
Rotating/Seasonal,65066
Retired (no longer brewed),47708
Retired (no longer brewed),15197
Year-round,24613
Retired (no longer brewed),18222
Retired (no longer brewed),67348
Year-round,44920
Retired (no longer brewed),27845
Retired (no longer brewed),10890
Year-round,71393
Retired (no longer brewed),17462
Year-round,54269
Retired (no longer brewed),17811
Year-round,74418
Retired (no longer brewed),20563
Year-round,10885
Retired (no longer brewed),37616
Year-round,76533
Retired (no longer brewed),13111
Retired (no longer brewed),34285
Retired (no longer brewed),28194
Retired (no longer brewed),67490
Year-round,70702
Year-round,73412
Rotating/Seasonal,67425
Retired (no longer brewed),18635
Rotating/Seasonal,50295
Rotating/Seasonal,51380
Retired (no longer brewed),23074
Year-round,57222
Retired (no longer brewed),18640
Retired (no longer brewed),18636
Retired (no longer brewed),35928
Retired (no longer brewed),11538
Retired (no longer brewed),11496
Rotating/Seasonal,77060
Year-round,58263
Retired (no longer brewed),13602
Year-round,74951
Retired (no longer brewed),75947
Retired (no longer brewed),30866
Retired (no longer brewed),35814
Retired (no longer brewed),35815
Retired (no longer brewed),35817
Retired (no longer brewed),32135
Retired (no longer brewed),32032
Retired (no longer brewed),32196
Retired (no longer brewed),32031
Retired (no longer brewed),34022
Rotating/Seasonal,55306
Retired (no longer brewed),38043
Rotating/Seasonal,39493
Rotating/Seasonal,45036
Retired (no longer brewed),29146
Rotating/Seasonal,60360
Retired (no longer brewed),38730
Rotating/Seasonal,47106
Retired (no longer brewed),68784
Retired (no longer brewed),39492
Rotating/Seasonal,67290
Retired (no longer brewed),37637
Retired (no longer brewed),41011
Retired (no longer brewed),13663
Year-round,31945
Retired (no longer brewed),14959
Retired (no longer brewed),12403
Retired (no longer brewed),41375
Retired (no longer brewed),15195
Retired (no longer brewed),21295
Retired (no longer brewed),13480
Year-round,74606
Retired (no longer brewed),38314
Rotating/Seasonal,48376
Retired (no longer brewed),35294
Year-round,49963
Year-round,52245
Year-round,64999
Retired (no longer brewed),62916
Retired (no longer brewed),76273
Retired (no longer brewed),62915
Retired (no longer brewed),73009
Retired (no longer brewed),12858
Retired (no longer brewed),12859
Retired (no longer brewed),73888
Year-round,67296
Year-round,24260
Retired (no longer brewed),31823
Retired (no longer brewed),16130
Retired (no longer brewed),73420
Year-round,56399
Rotating/Seasonal,51663
Retired (no longer brewed),32098
Rotating/Seasonal,75839
Rotating/Seasonal,75468
Year-round,77172
Retired (no longer brewed),38052
Rotating/Seasonal,69260
Retired (no longer brewed),26669
Retired (no longer brewed),27412
Retired (no longer brewed),71900
Rotating/Seasonal,25088
Retired (no longer brewed),24316
Year-round,61714
Retired (no longer brewed),4950
Retired (no longer brewed),4952
Rotating/Seasonal,56427
Year-round,63897
Rotating/Seasonal,64643
Year-round,35519
Retired (no longer brewed),39552
Year-round,36864
Year-round,65475
Year-round,68509
Year-round,69923
Retired (no longer brewed),30098
Rotating/Seasonal,67795
Year-round,68906
Retired (no longer brewed),36076
Retired (no longer brewed),36077
Retired (no longer brewed),43533
Retired (no longer brewed),40234
Rotating/Seasonal,65879
Retired (no longer brewed),49247
Rotating/Seasonal,65878
Rotating/Seasonal,48382
Retired (no longer brewed),68067
Retired (no longer brewed),37707
Retired (no longer brewed),46998
Rotating/Seasonal,65176
Retired (no longer brewed),43215
Retired (no longer brewed),68068
Retired (no longer brewed),40926
Rotating/Seasonal,66533
Retired (no longer brewed),4375
Year-round,54517
Retired (no longer brewed),38222
Retired (no longer brewed),4383
Year-round,56975
Rotating/Seasonal,52757
Rotating/Seasonal,55956
Retired (no longer brewed),63832
Rotating/Seasonal,55958
Retired (no longer brewed),58253
Rotating/Seasonal,52756
