Status,Beer_Beerid
Retired (no longer brewed),66898
Rotating/Seasonal,48230
Retired (no longer brewed),32719
Year-round,57108
Retired (no longer brewed),18027
Rotating/Seasonal,53729
Retired (no longer brewed),14096
Retired (no longer brewed),14099
Retired (no longer brewed),18133
Rotating/Seasonal,52376
Retired (no longer brewed),16191
Year-round,73848
Retired (no longer brewed),39235
Year-round,70517
Retired (no longer brewed),76855
Year-round,70524
Year-round,45166
Retired (no longer brewed),56923
Retired (no longer brewed),18068
Retired (no longer brewed),75676
Retired (no longer brewed),59079
Retired (no longer brewed),20249
Retired (no longer brewed),75672
Retired (no longer brewed),58428
Retired (no longer brewed),66384
Retired (no longer brewed),56380
Year-round,70862
Rotating/Seasonal,43847
Rotating/Seasonal,47201
Rotating/Seasonal,36582
Rotating/Seasonal,66562
Rotating/Seasonal,63662
Rotating/Seasonal,63560
Rotating/Seasonal,37165
Rotating/Seasonal,22843
Retired (no longer brewed),42377
Retired (no longer brewed),20851
Retired (no longer brewed),25641
Retired (no longer brewed),30560
Retired (no longer brewed),15158
Retired (no longer brewed),15157
Retired (no longer brewed),31493
Year-round,72562
Year-round,59830
Year-round,63306
Year-round,58739
Retired (no longer brewed),18160
Retired (no longer brewed),18166
Retired (no longer brewed),18161
Retired (no longer brewed),25715
Year-round,50964
Retired (no longer brewed),67032
Retired (no longer brewed),60671
Retired (no longer brewed),68836
Retired (no longer brewed),76459
Retired (no longer brewed),60672
Retired (no longer brewed),76457
Rotating/Seasonal,5236
Retired (no longer brewed),76458
Retired (no longer brewed),76456
Retired (no longer brewed),76463
Retired (no longer brewed),76460
Retired (no longer brewed),76461
Retired (no longer brewed),76462
Year-round,54468
Year-round,54633
Retired (no longer brewed),43093
Year-round,46212
Retired (no longer brewed),32491
Retired (no longer brewed),26942
Retired (no longer brewed),32525
Retired (no longer brewed),37813
Retired (no longer brewed),32526
Retired (no longer brewed),32490
Retired (no longer brewed),46451
Retired (no longer brewed),77144
Retired (no longer brewed),77141
Retired (no longer brewed),46458
Retired (no longer brewed),46457
Retired (no longer brewed),46456
Retired (no longer brewed),63454
Retired (no longer brewed),77142
Retired (no longer brewed),55114
Retired (no longer brewed),77143
Retired (no longer brewed),63453
Retired (no longer brewed),61697
Retired (no longer brewed),33661
Retired (no longer brewed),33650
Year-round,51460
Year-round,48994
Retired (no longer brewed),71721
Rotating/Seasonal,63616
Retired (no longer brewed),62662
Retired (no longer brewed),41473
Retired (no longer brewed),41458
Year-round,61106
Retired (no longer brewed),37782
Retired (no longer brewed),72239
Rotating/Seasonal,63172
Rotating/Seasonal,48339
Rotating/Seasonal,60439
Rotating/Seasonal,59985
Rotating/Seasonal,71222
