Status,Beer_Beerid
Retired (no longer brewed),43004
Retired (no longer brewed),31669
Retired (no longer brewed),4204
Retired (no longer brewed),10941
Retired (no longer brewed),68416
Retired (no longer brewed),56777
Retired (no longer brewed),24939
Retired (no longer brewed),72441
Retired (no longer brewed),73603
Retired (no longer brewed),72445
Retired (no longer brewed),43005
Year-round,66312
Year-round,66314
Rotating/Seasonal,66731
Year-round,66318
Year-round,66319
Year-round,66315
Rotating/Seasonal,67997
Retired (no longer brewed),38803
Rotating/Seasonal,55075
Retired (no longer brewed),38435
Retired (no longer brewed),38230
Retired (no longer brewed),60263
Rotating/Seasonal,57415
Retired (no longer brewed),26139
Retired (no longer brewed),33858
Retired (no longer brewed),72923
Retired (no longer brewed),2638
Retired (no longer brewed),789
Year-round,67848
Retired (no longer brewed),3641
Retired (no longer brewed),40162
Retired (no longer brewed),56845
Retired (no longer brewed),75563
Year-round,63010
Year-round,72577
Year-round,62828
Year-round,75116
Rotating/Seasonal,68748
Year-round,70084
Rotating/Seasonal,57080
Retired (no longer brewed),56705
Retired (no longer brewed),9134
Year-round,69427
Retired (no longer brewed),9137
Year-round,71209
Year-round,72564
Year-round,72549
Year-round,71461
Rotating/Seasonal,73147
Retired (no longer brewed),68614
Year-round,44122
Rotating/Seasonal,76690
Year-round,76693
Rotating/Seasonal,64831
Retired (no longer brewed),14076
Retired (no longer brewed),74266
Year-round,55491
Year-round,41097
Year-round,62186
Year-round,51250
Retired (no longer brewed),36469
Year-round,31219
Retired (no longer brewed),75753
Rotating/Seasonal,52006
Rotating/Seasonal,52005
Retired (no longer brewed),75752
Retired (no longer brewed),31841
Year-round,72651
Retired (no longer brewed),28828
Retired (no longer brewed),63925
Retired (no longer brewed),48145
Retired (no longer brewed),23516
Rotating/Seasonal,66522
Retired (no longer brewed),27100
Retired (no longer brewed),66575
Rotating/Seasonal,62302
Retired (no longer brewed),76776
Retired (no longer brewed),72422
Rotating/Seasonal,64689
Rotating/Seasonal,47184
Retired (no longer brewed),47042
Rotating/Seasonal,35486
Rotating/Seasonal,64687
Rotating/Seasonal,35481
Rotating/Seasonal,64688
Rotating/Seasonal,58079
Retired (no longer brewed),49284
Rotating/Seasonal,61400
Rotating/Seasonal,64686
Rotating/Seasonal,61401
Rotating/Seasonal,43323
Year-round,45388
Retired (no longer brewed),30229
Year-round,45159
Retired (no longer brewed),31794
Year-round,45075
Year-round,45400
Retired (no longer brewed),14745
Rotating/Seasonal,51636
Rotating/Seasonal,51500
Year-round,73718
Rotating/Seasonal,56653
Retired (no longer brewed),29830
Rotating/Seasonal,52071
Retired (no longer brewed),14761
Retired (no longer brewed),26871
Retired (no longer brewed),21764
Retired (no longer brewed),26870
Rotating/Seasonal,14763
Year-round,66038
Rotating/Seasonal,43825
Year-round,69598
Retired (no longer brewed),15779
Retired (no longer brewed),31124
Retired (no longer brewed),74807
Retired (no longer brewed),38582
Retired (no longer brewed),26991
Retired (no longer brewed),39464
Retired (no longer brewed),37955
Retired (no longer brewed),40074
Retired (no longer brewed),37585
Retired (no longer brewed),40071
Retired (no longer brewed),26816
Year-round,59644
Retired (no longer brewed),61764
Rotating/Seasonal,75437
Retired (no longer brewed),20978
Retired (no longer brewed),25622
Rotating/Seasonal,57566
Rotating/Seasonal,63876
Rotating/Seasonal,63879
Rotating/Seasonal,46530
Retired (no longer brewed),40845
Retired (no longer brewed),71063
Rotating/Seasonal,63878
Rotating/Seasonal,57567
Year-round,68056
Retired (no longer brewed),63888
Retired (no longer brewed),30739
Retired (no longer brewed),31070
Retired (no longer brewed),39829
Retired (no longer brewed),34045
Retired (no longer brewed),25168
Retired (no longer brewed),55341
Rotating/Seasonal,50798
Retired (no longer brewed),69432
Retired (no longer brewed),44817
Retired (no longer brewed),12142
Retired (no longer brewed),11959
Retired (no longer brewed),69511
Retired (no longer brewed),69887
Retired (no longer brewed),38247
Retired (no longer brewed),55093
Year-round,49376
Retired (no longer brewed),66772
Retired (no longer brewed),10777
Retired (no longer brewed),13075
Year-round,56528
Year-round,55667
Retired (no longer brewed),14082
Retired (no longer brewed),13680
Retired (no longer brewed),5275
Retired (no longer brewed),5276
Retired (no longer brewed),5272
Retired (no longer brewed),70163
Retired (no longer brewed),75915
Year-round,75768
Rotating/Seasonal,75769
Retired (no longer brewed),8184
Retired (no longer brewed),12203
Year-round,68857
Retired (no longer brewed),46806
Year-round,69507
Year-round,68855
Retired (no longer brewed),20079
Retired (no longer brewed),17354
Year-round,46370
Year-round,66839
Retired (no longer brewed),56920
Retired (no longer brewed),57867
Year-round,75574
Year-round,51767
Retired (no longer brewed),25567
Retired (no longer brewed),21440
Retired (no longer brewed),12745
Retired (no longer brewed),28383
Retired (no longer brewed),28961
Retired (no longer brewed),30019
Retired (no longer brewed),40054
Year-round,69714
Year-round,10245
Year-round,57116
Year-round,55988
Year-round,33743
Retired (no longer brewed),38166
Retired (no longer brewed),38198
Year-round,53397
Retired (no longer brewed),38199
Rotating/Seasonal,38195
Year-round,53401
Rotating/Seasonal,58860
Retired (no longer brewed),31991
Retired (no longer brewed),20296
Retired (no longer brewed),15366
Retired (no longer brewed),32038
Rotating/Seasonal,55109
Retired (no longer brewed),21199
Retired (no longer brewed),64962
Retired (no longer brewed),34481
Retired (no longer brewed),40289
Retired (no longer brewed),32214
Retired (no longer brewed),43595
Retired (no longer brewed),34615
Retired (no longer brewed),31988
Retired (no longer brewed),37335
Retired (no longer brewed),20941
Rotating/Seasonal,59965
Retired (no longer brewed),34032
Rotating/Seasonal,71094
Retired (no longer brewed),34162
Retired (no longer brewed),23993
Retired (no longer brewed),56693
Rotating/Seasonal,61516
Retired (no longer brewed),16514
Retired (no longer brewed),34161
Retired (no longer brewed),34015
Retired (no longer brewed),32140
Rotating/Seasonal,51298
Retired (no longer brewed),34186
Retired (no longer brewed),75536
Retired (no longer brewed),25075
Retired (no longer brewed),32215
Rotating/Seasonal,31452
Retired (no longer brewed),34024
Retired (no longer brewed),43613
Retired (no longer brewed),21970
Rotating/Seasonal,73229
Retired (no longer brewed),31989
Retired (no longer brewed),23221
Year-round,66681
Year-round,76166
Year-round,66099
Year-round,57461
Year-round,57460
Year-round,56302
Year-round,57599
Year-round,55995
Retired (no longer brewed),40714
Year-round,72511
Retired (no longer brewed),39562
Retired (no longer brewed),37242
Retired (no longer brewed),31526
Retired (no longer brewed),34875
Retired (no longer brewed),37241
Retired (no longer brewed),21461
Retired (no longer brewed),24503
Retired (no longer brewed),32125
Rotating/Seasonal,77190
Year-round,71082
Retired (no longer brewed),2351
Retired (no longer brewed),50896
Rotating/Seasonal,76430
Rotating/Seasonal,67756
Year-round,67754
Retired (no longer brewed),35795
Retired (no longer brewed),26444
Year-round,74630
Rotating/Seasonal,46275
Year-round,40837
Retired (no longer brewed),40838
Rotating/Seasonal,30668
Rotating/Seasonal,59554
Year-round,59553
Retired (no longer brewed),35320
Retired (no longer brewed),33455
Retired (no longer brewed),71019
Retired (no longer brewed),22726
Retired (no longer brewed),22725
Retired (no longer brewed),22722
Retired (no longer brewed),31661
Retired (no longer brewed),14356
Retired (no longer brewed),40755
Retired (no longer brewed),36345
Retired (no longer brewed),36357
Retired (no longer brewed),72164
Year-round,72163
Retired (no longer brewed),70982
Rotating/Seasonal,73384
Rotating/Seasonal,73386
Rotating/Seasonal,70959
Retired (no longer brewed),66145
Rotating/Seasonal,73383
Retired (no longer brewed),44162
Retired (no longer brewed),6661
Retired (no longer brewed),63532
Rotating/Seasonal,49795
Retired (no longer brewed),49794
Retired (no longer brewed),62109
Rotating/Seasonal,56809
Retired (no longer brewed),50355
Year-round,50356
Rotating/Seasonal,74860
Retired (no longer brewed),50354
Year-round,56024
Retired (no longer brewed),34465
Retired (no longer brewed),34812
Retired (no longer brewed),15909
Retired (no longer brewed),72634
Year-round,63617
Rotating/Seasonal,75689
Retired (no longer brewed),3496
Retired (no longer brewed),26365
Retired (no longer brewed),12185
Retired (no longer brewed),52927
Year-round,72217
Year-round,72211
Year-round,72216
Year-round,72213
Year-round,72215
Rotating/Seasonal,75178
Year-round,70260
Retired (no longer brewed),56301
Retired (no longer brewed),44047
Retired (no longer brewed),44744
Rotating/Seasonal,56381
Rotating/Seasonal,53348
Rotating/Seasonal,69140
Rotating/Seasonal,48318
Rotating/Seasonal,53347
Retired (no longer brewed),70984
Rotating/Seasonal,49179
Rotating/Seasonal,63976
Retired (no longer brewed),63634
Year-round,48319
Rotating/Seasonal,58266
Year-round,63977
Year-round,59531
Year-round,36984
Retired (no longer brewed),75659
Year-round,50594
Rotating/Seasonal,63960
Year-round,70753
Year-round,50858
Year-round,50862
Rotating/Seasonal,45471
Year-round,25409
Retired (no longer brewed),7777
Retired (no longer brewed),45720
Retired (no longer brewed),13894
Rotating/Seasonal,75157
Year-round,59527
Year-round,60728
Year-round,60663
Retired (no longer brewed),33621
Rotating/Seasonal,69506
Year-round,76388
Rotating/Seasonal,69154
Retired (no longer brewed),73871
Rotating/Seasonal,59010
Retired (no longer brewed),8965
Retired (no longer brewed),64037
Retired (no longer brewed),7157
Retired (no longer brewed),74708
Retired (no longer brewed),75506
Retired (no longer brewed),72935
Retired (no longer brewed),59071
Retired (no longer brewed),62965
Retired (no longer brewed),62481
Retired (no longer brewed),7156
Rotating/Seasonal,70185
Retired (no longer brewed),62508
Year-round,59036
Year-round,59034
Year-round,59033
Retired (no longer brewed),7161
Retired (no longer brewed),12270
Retired (no longer brewed),7171
Retired (no longer brewed),12271
Retired (no longer brewed),8964
Year-round,74482
Retired (no longer brewed),76627
Year-round,63722
Year-round,74485
Year-round,74483
Year-round,62153
Rotating/Seasonal,75207
Retired (no longer brewed),21301
Retired (no longer brewed),35451
Rotating/Seasonal,35452
Retired (no longer brewed),35453
Retired (no longer brewed),2571
Rotating/Seasonal,49908
Rotating/Seasonal,62490
Rotating/Seasonal,75983
Rotating/Seasonal,65267
Rotating/Seasonal,76518
Retired (no longer brewed),37262
Retired (no longer brewed),25092
Retired (no longer brewed),12105
Retired (no longer brewed),12023
Year-round,61282
Rotating/Seasonal,74197
Rotating/Seasonal,72221
Retired (no longer brewed),40902
Retired (no longer brewed),39962
Rotating/Seasonal,64329
Retired (no longer brewed),33573
Rotating/Seasonal,54608
Retired (no longer brewed),23492
Year-round,22594
Retired (no longer brewed),22662
Year-round,59860
Year-round,59088
Year-round,55144
Retired (no longer brewed),41679
Year-round,71515
Year-round,71516
Retired (no longer brewed),4501
Year-round,41511
Year-round,61701
Retired (no longer brewed),38258
Retired (no longer brewed),35942
Retired (no longer brewed),34053
Retired (no longer brewed),19391
Retired (no longer brewed),49295
Retired (no longer brewed),70586
Year-round,70744
Retired (no longer brewed),71799
Year-round,57238
Year-round,73406
Rotating/Seasonal,74706
Year-round,71309
Retired (no longer brewed),58391
Retired (no longer brewed),11864
Retired (no longer brewed),11865
Retired (no longer brewed),11863
Retired (no longer brewed),58388
Retired (no longer brewed),58392
Retired (no longer brewed),58389
Retired (no longer brewed),58390
Retired (no longer brewed),58387
Retired (no longer brewed),55559
Year-round,71818
Year-round,75422
Year-round,69993
Retired (no longer brewed),38972
Year-round,52833
Retired (no longer brewed),57821
Retired (no longer brewed),54057
Retired (no longer brewed),17466
Retired (no longer brewed),34169
Retired (no longer brewed),6486
Retired (no longer brewed),18853
Retired (no longer brewed),17013
Year-round,70529
Year-round,70736
Year-round,44490
Year-round,44462
Year-round,61124
Year-round,61436
Year-round,68636
Year-round,44366
Retired (no longer brewed),29839
Retired (no longer brewed),29990
Year-round,74958
Year-round,76765
Year-round,34794
Retired (no longer brewed),35116
Year-round,55005
Year-round,72099
Retired (no longer brewed),34795
Rotating/Seasonal,64117
Year-round,54679
Retired (no longer brewed),19383
Retired (no longer brewed),19390
Retired (no longer brewed),19392
Retired (no longer brewed),19389
Retired (no longer brewed),61397
Retired (no longer brewed),72145
Retired (no longer brewed),55451
Year-round,52960
Year-round,52903
Year-round,68115
Year-round,52934
Year-round,56052
Year-round,61719
Retired (no longer brewed),9020
Year-round,61620
Year-round,58422
Retired (no longer brewed),38930
Retired (no longer brewed),40253
Rotating/Seasonal,36754
Retired (no longer brewed),49556
Retired (no longer brewed),49558
Year-round,56768
Year-round,44952
Retired (no longer brewed),31424
Retired (no longer brewed),64738
Year-round,46833
Year-round,46832
Year-round,46651
Rotating/Seasonal,70348
Rotating/Seasonal,61520
Retired (no longer brewed),37105
Retired (no longer brewed),37085
Year-round,37083
Retired (no longer brewed),29758
Rotating/Seasonal,56650
Year-round,37104
Retired (no longer brewed),73725
Retired (no longer brewed),72609
Retired (no longer brewed),77115
Rotating/Seasonal,65571
Retired (no longer brewed),62954
Retired (no longer brewed),72212
Retired (no longer brewed),75355
Retired (no longer brewed),68048
Retired (no longer brewed),42174
Retired (no longer brewed),31942
Retired (no longer brewed),21162
Retired (no longer brewed),41875
Year-round,52815
Year-round,75107
Year-round,62923
Retired (no longer brewed),14347
Retired (no longer brewed),12927
Retired (no longer brewed),14283
Retired (no longer brewed),22588
Retired (no longer brewed),22561
Retired (no longer brewed),22639
Retired (no longer brewed),22519
Retired (no longer brewed),12900
Retired (no longer brewed),14485
Retired (no longer brewed),14321
Year-round,19080
Retired (no longer brewed),22582
Retired (no longer brewed),43311
Year-round,43915
Year-round,34445
Year-round,43991
Retired (no longer brewed),65184
Retired (no longer brewed),58385
Retired (no longer brewed),69416
Retired (no longer brewed),75911
Retired (no longer brewed),75912
Retired (no longer brewed),75182
Retired (no longer brewed),63504
Retired (no longer brewed),70909
Retired (no longer brewed),45184
Retired (no longer brewed),68611
Retired (no longer brewed),66637
Year-round,74647
Retired (no longer brewed),68803
Rotating/Seasonal,45870
Retired (no longer brewed),44801
Retired (no longer brewed),75909
Retired (no longer brewed),68808
