Status,Beer_Beerid
Year-round,52708
Retired (no longer brewed),43257
Retired (no longer brewed),43256
Retired (no longer brewed),43410
Year-round,46622
Retired (no longer brewed),49202
Year-round,60451
Retired (no longer brewed),16058
Retired (no longer brewed),75849
Retired (no longer brewed),76545
Retired (no longer brewed),77212
Retired (no longer brewed),53152
Retired (no longer brewed),8185
Year-round,52578
Year-round,47542
Rotating/Seasonal,73058
Retired (no longer brewed),76637
Rotating/Seasonal,72688
Retired (no longer brewed),66440
Retired (no longer brewed),67340
Retired (no longer brewed),73487
Retired (no longer brewed),76222
Retired (no longer brewed),72552
Retired (no longer brewed),71113
Year-round,74056
Retired (no longer brewed),42358
Rotating/Seasonal,65040
Rotating/Seasonal,57474
Year-round,57377
Rotating/Seasonal,50236
Rotating/Seasonal,50199
Retired (no longer brewed),9606
Retired (no longer brewed),25273
Retired (no longer brewed),25631
Year-round,57578
Year-round,66399
Retired (no longer brewed),25185
Rotating/Seasonal,29448
Year-round,29439
Retired (no longer brewed),29440
Rotating/Seasonal,65195
Retired (no longer brewed),36824
Retired (no longer brewed),21288
Retired (no longer brewed),49478
Retired (no longer brewed),39894
Year-round,70074
Rotating/Seasonal,73794
Year-round,75525
Retired (no longer brewed),29400
Retired (no longer brewed),35624
Retired (no longer brewed),7293
Retired (no longer brewed),37366
Retired (no longer brewed),16206
Retired (no longer brewed),32472
Retired (no longer brewed),39393
Retired (no longer brewed),16267
Retired (no longer brewed),39370
Retired (no longer brewed),10338
Retired (no longer brewed),17784
Retired (no longer brewed),13911
Retired (no longer brewed),11909
Retired (no longer brewed),11910
Year-round,20464
Year-round,47371
Retired (no longer brewed),19340
Retired (no longer brewed),20051
Retired (no longer brewed),19235
Retired (no longer brewed),21251
Year-round,75628
Retired (no longer brewed),25577
Retired (no longer brewed),20394
Retired (no longer brewed),59486
Retired (no longer brewed),64331
Retired (no longer brewed),11874
Rotating/Seasonal,50775
Retired (no longer brewed),63810
Retired (no longer brewed),71204
Retired (no longer brewed),21807
Retired (no longer brewed),62837
Retired (no longer brewed),14480
Year-round,47826
Retired (no longer brewed),31438
Retired (no longer brewed),32873
Retired (no longer brewed),29068
Retired (no longer brewed),29066
Retired (no longer brewed),42105
Year-round,72155
Year-round,72156
Retired (no longer brewed),71187
Retired (no longer brewed),71941
Retired (no longer brewed),74937
Retired (no longer brewed),71746
Retired (no longer brewed),49041
Rotating/Seasonal,75184
Retired (no longer brewed),66985
Retired (no longer brewed),180
Retired (no longer brewed),13727
Retired (no longer brewed),74938
Retired (no longer brewed),42070
Retired (no longer brewed),68667
Retired (no longer brewed),67961
Retired (no longer brewed),70583
Retired (no longer brewed),69998
Retired (no longer brewed),70209
Retired (no longer brewed),61403
Year-round,66166
Rotating/Seasonal,46871
Retired (no longer brewed),12725
Retired (no longer brewed),67629
Retired (no longer brewed),34453
Retired (no longer brewed),23658
Year-round,45929
Retired (no longer brewed),32042
Retired (no longer brewed),8582
Retired (no longer brewed),27714
Rotating/Seasonal,49083
Retired (no longer brewed),17820
Retired (no longer brewed),37052
Retired (no longer brewed),39287
Retired (no longer brewed),8584
Retired (no longer brewed),14015
Retired (no longer brewed),14016
Retired (no longer brewed),30708
Retired (no longer brewed),29845
Year-round,29849
Retired (no longer brewed),68666
Year-round,29847
Year-round,47491
Year-round,47533
Year-round,47404
Rotating/Seasonal,64278
Retired (no longer brewed),69188
Retired (no longer brewed),53672
Rotating/Seasonal,48096
Retired (no longer brewed),54065
Rotating/Seasonal,51633
Rotating/Seasonal,66721
Rotating/Seasonal,64651
Retired (no longer brewed),49210
Rotating/Seasonal,58877
Retired (no longer brewed),72934
Retired (no longer brewed),48097
Rotating/Seasonal,55131
Retired (no longer brewed),72368
Retired (no longer brewed),74595
Rotating/Seasonal,67888
Rotating/Seasonal,48094
Rotating/Seasonal,67889
Retired (no longer brewed),77146
Rotating/Seasonal,49874
Rotating/Seasonal,64279
Retired (no longer brewed),72367
Rotating/Seasonal,64652
Year-round,53442
Year-round,77069
Year-round,9156
Retired (no longer brewed),8158
Year-round,48827
Year-round,71441
Year-round,71443
Retired (no longer brewed),21841
Rotating/Seasonal,76109
Retired (no longer brewed),18664
Retired (no longer brewed),19836
Retired (no longer brewed),42924
Retired (no longer brewed),54671
Retired (no longer brewed),18667
Year-round,54968
Rotating/Seasonal,68810
Retired (no longer brewed),61443
Rotating/Seasonal,66568
Rotating/Seasonal,62480
Rotating/Seasonal,72942
Retired (no longer brewed),37264
Rotating/Seasonal,72415
Year-round,72414
Year-round,72416
Retired (no longer brewed),31391
Year-round,71521
Year-round,72669
Retired (no longer brewed),43079
Retired (no longer brewed),38081
Year-round,43163
Year-round,73665
Retired (no longer brewed),39730
Retired (no longer brewed),28256
Retired (no longer brewed),33787
Retired (no longer brewed),16912
Retired (no longer brewed),17287
Retired (no longer brewed),19131
Retired (no longer brewed),19132
Year-round,49230
Year-round,76709
Year-round,69195
Year-round,51928
Year-round,74516
Year-round,67379
Year-round,69194
Retired (no longer brewed),42635
Retired (no longer brewed),41621
Retired (no longer brewed),46619
Retired (no longer brewed),31959
Retired (no longer brewed),23680
Retired (no longer brewed),55630
Retired (no longer brewed),33065
Rotating/Seasonal,41552
Rotating/Seasonal,67577
Rotating/Seasonal,65191
Retired (no longer brewed),34144
Retired (no longer brewed),36182
Retired (no longer brewed),36181
Retired (no longer brewed),59746
Retired (no longer brewed),67430
Retired (no longer brewed),55421
Retired (no longer brewed),19816
Retired (no longer brewed),55774
Retired (no longer brewed),2234
Retired (no longer brewed),27681
Retired (no longer brewed),38444
Retired (no longer brewed),21580
Retired (no longer brewed),15659
Retired (no longer brewed),71939
Retired (no longer brewed),72002
Retired (no longer brewed),22100
Retired (no longer brewed),58990
Retired (no longer brewed),53169
Retired (no longer brewed),69129
Retired (no longer brewed),34001
Retired (no longer brewed),56373
Retired (no longer brewed),61735
Retired (no longer brewed),32842
Retired (no longer brewed),71940
Retired (no longer brewed),38445
Retired (no longer brewed),72025
Retired (no longer brewed),58301
Retired (no longer brewed),51200
Retired (no longer brewed),54010
Retired (no longer brewed),51203
Retired (no longer brewed),69024
Retired (no longer brewed),54009
Rotating/Seasonal,68920
Retired (no longer brewed),43791
Rotating/Seasonal,51209
Retired (no longer brewed),44194
Retired (no longer brewed),71687
Rotating/Seasonal,68919
Retired (no longer brewed),43790
Retired (no longer brewed),43792
Retired (no longer brewed),46713
Retired (no longer brewed),26371
Retired (no longer brewed),45975
Retired (no longer brewed),51210
Rotating/Seasonal,14956
Rotating/Seasonal,52364
Retired (no longer brewed),2630
Retired (no longer brewed),46559
Retired (no longer brewed),25743
Retired (no longer brewed),20887
Retired (no longer brewed),22873
Rotating/Seasonal,13740
Retired (no longer brewed),62996
Retired (no longer brewed),24826
Year-round,60483
Year-round,76433
Retired (no longer brewed),24160
Retired (no longer brewed),35158
Rotating/Seasonal,56781
Rotating/Seasonal,66858
Retired (no longer brewed),46542
Retired (no longer brewed),72566
Retired (no longer brewed),76912
Retired (no longer brewed),42191
Retired (no longer brewed),73628
Retired (no longer brewed),70754
Retired (no longer brewed),68610
Retired (no longer brewed),63836
Retired (no longer brewed),54219
Retired (no longer brewed),66841
Rotating/Seasonal,65169
Retired (no longer brewed),51351
Rotating/Seasonal,66947
Retired (no longer brewed),72558
Retired (no longer brewed),54222
Retired (no longer brewed),54204
Retired (no longer brewed),70554
Retired (no longer brewed),64818
Retired (no longer brewed),41525
Retired (no longer brewed),73894
Retired (no longer brewed),64499
Retired (no longer brewed),51643
Retired (no longer brewed),44488
Retired (no longer brewed),17704
Retired (no longer brewed),59054
Retired (no longer brewed),46785
Retired (no longer brewed),70589
Rotating/Seasonal,76760
Retired (no longer brewed),55500
Retired (no longer brewed),70282
Retired (no longer brewed),53814
Retired (no longer brewed),53816
Retired (no longer brewed),40225
Retired (no longer brewed),53815
Retired (no longer brewed),39110
Retired (no longer brewed),53966
Retired (no longer brewed),70731
Year-round,70730
Retired (no longer brewed),15662
Retired (no longer brewed),15661
Retired (no longer brewed),59274
Retired (no longer brewed),41291
Retired (no longer brewed),56007
Retired (no longer brewed),40564
Retired (no longer brewed),64014
Retired (no longer brewed),58304
Retired (no longer brewed),64015
Retired (no longer brewed),70969
Retired (no longer brewed),42279
Retired (no longer brewed),45945
Retired (no longer brewed),42278
Retired (no longer brewed),61113
Retired (no longer brewed),70951
Year-round,52778
Retired (no longer brewed),17042
Rotating/Seasonal,65802
Retired (no longer brewed),56924
Rotating/Seasonal,71491
Retired (no longer brewed),36350
Retired (no longer brewed),58777
Rotating/Seasonal,57314
Retired (no longer brewed),39555
Rotating/Seasonal,60035
Year-round,56767
Year-round,9301
Retired (no longer brewed),39446
Rotating/Seasonal,38840
Year-round,70558
Retired (no longer brewed),74602
Retired (no longer brewed),75836
Retired (no longer brewed),75571
Retired (no longer brewed),73829
Retired (no longer brewed),74000
Retired (no longer brewed),7329
Retired (no longer brewed),9446
Year-round,71629
Retired (no longer brewed),6955
Retired (no longer brewed),10405
Retired (no longer brewed),24110
