Status,Beer_Beerid
Retired (no longer brewed),23618
Year-round,44297
Year-round,44862
Retired (no longer brewed),24407
Retired (no longer brewed),30146
Retired (no longer brewed),8259
Year-round,22742
Retired (no longer brewed),42012
Rotating/Seasonal,59789
Retired (no longer brewed),21551
Year-round,45640
Year-round,54430
Rotating/Seasonal,36329
Retired (no longer brewed),70581
Rotating/Seasonal,76924
Retired (no longer brewed),76926
Retired (no longer brewed),73191
Retired (no longer brewed),76927
Rotating/Seasonal,71115
Rotating/Seasonal,76928
Rotating/Seasonal,76923
Retired (no longer brewed),76922
Retired (no longer brewed),68717
Year-round,63646
Retired (no longer brewed),76925
Year-round,71611
Retired (no longer brewed),19092
Retired (no longer brewed),41305
Retired (no longer brewed),41306
Retired (no longer brewed),25019
Retired (no longer brewed),18802
Retired (no longer brewed),18805
Year-round,65487
Year-round,57601
Retired (no longer brewed),63526
Rotating/Seasonal,69419
Retired (no longer brewed),9081
Year-round,62836
Year-round,62177
Year-round,77083
Retired (no longer brewed),25662
Year-round,68188
Rotating/Seasonal,63319
Year-round,60820
Rotating/Seasonal,66852
Retired (no longer brewed),31816
Rotating/Seasonal,64403
Rotating/Seasonal,71586
Rotating/Seasonal,64398
Retired (no longer brewed),39444
Retired (no longer brewed),54709
Rotating/Seasonal,51225
Retired (no longer brewed),54712
Retired (no longer brewed),53572
Year-round,1110
Retired (no longer brewed),75736
Rotating/Seasonal,40515
Rotating/Seasonal,51224
Year-round,54342
Year-round,71326
Retired (no longer brewed),5856
Retired (no longer brewed),23216
Retired (no longer brewed),22733
Retired (no longer brewed),36479
Year-round,41588
Retired (no longer brewed),41589
Rotating/Seasonal,41590
Retired (no longer brewed),51670
Rotating/Seasonal,76418
Rotating/Seasonal,68180
Retired (no longer brewed),60963
Rotating/Seasonal,76412
Rotating/Seasonal,68167
Rotating/Seasonal,14566
Year-round,50257
Rotating/Seasonal,74436
Rotating/Seasonal,53963
Retired (no longer brewed),24232
Retired (no longer brewed),24270
Retired (no longer brewed),19678
Retired (no longer brewed),19666
Rotating/Seasonal,50824
Year-round,58716
Rotating/Seasonal,10658
Rotating/Seasonal,59743
Retired (no longer brewed),69974
Rotating/Seasonal,77028
Year-round,69912
Retired (no longer brewed),69970
Year-round,69890
Retired (no longer brewed),69973
Retired (no longer brewed),69915
Retired (no longer brewed),69916
Year-round,69892
Year-round,77027
Retired (no longer brewed),48492
Year-round,45052
Year-round,47126
Year-round,44917
Year-round,75538
Retired (no longer brewed),34433
Retired (no longer brewed),12899
Retired (no longer brewed),25338
Retired (no longer brewed),14967
Retired (no longer brewed),69593
Retired (no longer brewed),16981
Retired (no longer brewed),67090
Retired (no longer brewed),56408
Year-round,75709
Retired (no longer brewed),61164
Rotating/Seasonal,64634
Retired (no longer brewed),44637
Retired (no longer brewed),22887
Retired (no longer brewed),26559
Retired (no longer brewed),27554
Retired (no longer brewed),23033
Retired (no longer brewed),21154
Retired (no longer brewed),43106
Retired (no longer brewed),27536
Retired (no longer brewed),22816
Rotating/Seasonal,45671
Retired (no longer brewed),36259
Retired (no longer brewed),22074
Retired (no longer brewed),57556
Rotating/Seasonal,71353
Retired (no longer brewed),21121
Retired (no longer brewed),25892
Retired (no longer brewed),37189
Retired (no longer brewed),30542
Retired (no longer brewed),28987
Year-round,60000
Retired (no longer brewed),41842
Year-round,56763
Retired (no longer brewed),19179
Retired (no longer brewed),22073
Retired (no longer brewed),27553
Retired (no longer brewed),42598
Retired (no longer brewed),26008
Retired (no longer brewed),42755
Retired (no longer brewed),22667
Retired (no longer brewed),49335
Retired (no longer brewed),75461
Retired (no longer brewed),75665
Retired (no longer brewed),26467
Retired (no longer brewed),50309
Retired (no longer brewed),56573
Retired (no longer brewed),54143
Rotating/Seasonal,67693
Rotating/Seasonal,76797
Retired (no longer brewed),39909
Retired (no longer brewed),49337
Rotating/Seasonal,66776
Retired (no longer brewed),46131
Retired (no longer brewed),18644
Retired (no longer brewed),30428
Retired (no longer brewed),72389
Retired (no longer brewed),47466
Retired (no longer brewed),56283
Retired (no longer brewed),50742
Year-round,72236
Retired (no longer brewed),8090
Retired (no longer brewed),8089
Year-round,62715
Rotating/Seasonal,75094
Year-round,59541
Retired (no longer brewed),76428
Retired (no longer brewed),36882
Retired (no longer brewed),36910
Rotating/Seasonal,62151
Rotating/Seasonal,48806
Retired (no longer brewed),27111
Retired (no longer brewed),30545
Rotating/Seasonal,75702
Retired (no longer brewed),27109
Retired (no longer brewed),59551
Retired (no longer brewed),62152
Retired (no longer brewed),36648
Retired (no longer brewed),67770
Retired (no longer brewed),30485
Retired (no longer brewed),31342
Retired (no longer brewed),36482
Retired (no longer brewed),34042
Retired (no longer brewed),36877
Retired (no longer brewed),36894
Retired (no longer brewed),41259
Retired (no longer brewed),36459
Retired (no longer brewed),34055
Retired (no longer brewed),30038
Year-round,34765
Rotating/Seasonal,62766
Year-round,46506
Year-round,71685
Retired (no longer brewed),60806
Retired (no longer brewed),60889
Retired (no longer brewed),71761
Rotating/Seasonal,60435
Retired (no longer brewed),14369
Year-round,35559
Rotating/Seasonal,71462
Rotating/Seasonal,76018
Retired (no longer brewed),66316
Retired (no longer brewed),73311
Retired (no longer brewed),58824
Rotating/Seasonal,33090
Retired (no longer brewed),73818
Rotating/Seasonal,72305
Rotating/Seasonal,72913
Retired (no longer brewed),73820
