Status,Beer_Beerid
Retired (no longer brewed),22579
Retired (no longer brewed),22563
Retired (no longer brewed),22564
Retired (no longer brewed),36777
Rotating/Seasonal,40307
Retired (no longer brewed),37343
Year-round,76171
Rotating/Seasonal,15504
Retired (no longer brewed),15503
Retired (no longer brewed),3705
Retired (no longer brewed),40183
Year-round,76096
Retired (no longer brewed),27017
Retired (no longer brewed),75377
Year-round,47538
Retired (no longer brewed),28263
Retired (no longer brewed),12857
Rotating/Seasonal,56505
Retired (no longer brewed),31889
Year-round,52458
Retired (no longer brewed),24590
Retired (no longer brewed),35932
Year-round,76704
Retired (no longer brewed),76691
Retired (no longer brewed),59078
Year-round,70203
Year-round,53891
Year-round,56049
Retired (no longer brewed),18693
Year-round,70225
Retired (no longer brewed),27790
Year-round,72931
Retired (no longer brewed),61906
Retired (no longer brewed),45553
Retired (no longer brewed),43806
Retired (no longer brewed),76845
Retired (no longer brewed),46635
Retired (no longer brewed),37478
Retired (no longer brewed),68286
Retired (no longer brewed),27267
Retired (no longer brewed),28135
Retired (no longer brewed),50238
Retired (no longer brewed),44187
Retired (no longer brewed),34508
Retired (no longer brewed),56661
Retired (no longer brewed),28870
Retired (no longer brewed),59566
Retired (no longer brewed),61513
Retired (no longer brewed),27490
Retired (no longer brewed),63134
Retired (no longer brewed),30848
Retired (no longer brewed),32155
Retired (no longer brewed),33807
Retired (no longer brewed),36658
Retired (no longer brewed),63135
Retired (no longer brewed),28136
Year-round,15824
Year-round,61315
Year-round,56219
Year-round,56048
Retired (no longer brewed),49188
Retired (no longer brewed),60114
Retired (no longer brewed),38203
Retired (no longer brewed),31570
Retired (no longer brewed),26115
Retired (no longer brewed),20287
Retired (no longer brewed),31553
Year-round,63095
Year-round,63099
Year-round,63093
Rotating/Seasonal,63098
Retired (no longer brewed),74040
Year-round,63097
Year-round,63096
Retired (no longer brewed),7365
Retired (no longer brewed),16392
Retired (no longer brewed),2291
Retired (no longer brewed),23372
Retired (no longer brewed),21244
Retired (no longer brewed),16394
Retired (no longer brewed),43058
Retired (no longer brewed),75641
Rotating/Seasonal,75640
Retired (no longer brewed),67854
Retired (no longer brewed),75637
Retired (no longer brewed),14510
Year-round,75617
Retired (no longer brewed),66626
Retired (no longer brewed),60159
Retired (no longer brewed),56673
Retired (no longer brewed),60160
Retired (no longer brewed),65242
Rotating/Seasonal,76260
Year-round,76074
Retired (no longer brewed),54781
Retired (no longer brewed),76889
Retired (no longer brewed),46901
Retired (no longer brewed),69818
Retired (no longer brewed),71773
Retired (no longer brewed),75242
Year-round,62263
Year-round,60504
Retired (no longer brewed),32108
Year-round,56671
Retired (no longer brewed),25043
Retired (no longer brewed),32104
Year-round,45107
Year-round,45808
Rotating/Seasonal,45630
Rotating/Seasonal,47215
Year-round,45415
Year-round,44754
Retired (no longer brewed),30627
Rotating/Seasonal,34926
Rotating/Seasonal,48826
Retired (no longer brewed),69969
Retired (no longer brewed),69177
Rotating/Seasonal,34927
Rotating/Seasonal,70052
Rotating/Seasonal,45016
Retired (no longer brewed),9029
Retired (no longer brewed),57145
Retired (no longer brewed),4778
Rotating/Seasonal,74079
Rotating/Seasonal,51093
Retired (no longer brewed),59461
Retired (no longer brewed),28888
Retired (no longer brewed),18883
Retired (no longer brewed),46109
Retired (no longer brewed),35584
Retired (no longer brewed),35582
Retired (no longer brewed),35585
Retired (no longer brewed),35581
Rotating/Seasonal,71733
Rotating/Seasonal,64917
Year-round,75523
Retired (no longer brewed),2955
Retired (no longer brewed),2952
Retired (no longer brewed),2951
Retired (no longer brewed),3180
Retired (no longer brewed),2954
Year-round,73097
Retired (no longer brewed),27686
Retired (no longer brewed),51085
Retired (no longer brewed),21148
Retired (no longer brewed),5343
Retired (no longer brewed),5341
Retired (no longer brewed),14526
Rotating/Seasonal,57864
Year-round,55881
Year-round,48685
Year-round,55844
Retired (no longer brewed),76174
Retired (no longer brewed),73707
Retired (no longer brewed),33909
Retired (no longer brewed),62267
Retired (no longer brewed),36442
Retired (no longer brewed),68006
Retired (no longer brewed),62271
Retired (no longer brewed),60039
Year-round,76172
Rotating/Seasonal,73657
Retired (no longer brewed),26251
Retired (no longer brewed),6511
Rotating/Seasonal,51698
Rotating/Seasonal,51709
Retired (no longer brewed),35074
Retired (no longer brewed),35073
Year-round,39747
Year-round,39745
Retired (no longer brewed),44772
Rotating/Seasonal,71477
Retired (no longer brewed),25575
Retired (no longer brewed),14010
Retired (no longer brewed),60444
Year-round,76070
Year-round,76391
Rotating/Seasonal,75421
Retired (no longer brewed),39386
Year-round,75420
Year-round,39385
Year-round,43486
Year-round,66370
Year-round,56114
Year-round,65707
Rotating/Seasonal,72190
Rotating/Seasonal,72192
Rotating/Seasonal,72193
Rotating/Seasonal,74376
Rotating/Seasonal,72191
Retired (no longer brewed),41201
Retired (no longer brewed),41156
Retired (no longer brewed),41726
Rotating/Seasonal,71153
Retired (no longer brewed),40396
Retired (no longer brewed),40462
Retired (no longer brewed),29199
Retired (no longer brewed),58449
Rotating/Seasonal,75099
Retired (no longer brewed),77112
Retired (no longer brewed),50378
Retired (no longer brewed),75138
Retired (no longer brewed),41735
Retired (no longer brewed),60438
Retired (no longer brewed),41731
Retired (no longer brewed),47914
Retired (no longer brewed),60654
Retired (no longer brewed),62095
Retired (no longer brewed),70739
Retired (no longer brewed),56372
Retired (no longer brewed),77043
Retired (no longer brewed),41733
Retired (no longer brewed),71015
Retired (no longer brewed),58396
Retired (no longer brewed),12681
Retired (no longer brewed),37866
Retired (no longer brewed),41732
Retired (no longer brewed),68159
Retired (no longer brewed),76552
Retired (no longer brewed),65912
Retired (no longer brewed),65911
Rotating/Seasonal,36314
Retired (no longer brewed),64570
Retired (no longer brewed),72374
Retired (no longer brewed),67959
Retired (no longer brewed),52682
Year-round,51876
Year-round,76907
Year-round,51569
Rotating/Seasonal,68149
Retired (no longer brewed),12108
Retired (no longer brewed),41382
Retired (no longer brewed),24564
Retired (no longer brewed),45806
Retired (no longer brewed),29229
Retired (no longer brewed),65618
Retired (no longer brewed),36753
Rotating/Seasonal,74637
