Status,Beer_Beerid
Year-round,67233
Rotating/Seasonal,56120
Rotating/Seasonal,23763
Rotating/Seasonal,73460
Retired (no longer brewed),72263
Retired (no longer brewed),40000
Retired (no longer brewed),42143
Retired (no longer brewed),36628
Retired (no longer brewed),42142
Retired (no longer brewed),27145
Retired (no longer brewed),27872
Retired (no longer brewed),30807
Retired (no longer brewed),30813
Year-round,30789
Rotating/Seasonal,69101
Rotating/Seasonal,63442
Retired (no longer brewed),71301
Rotating/Seasonal,66837
Rotating/Seasonal,70815
Rotating/Seasonal,71163
Rotating/Seasonal,62856
Year-round,56519
Rotating/Seasonal,71160
Retired (no longer brewed),72261
Retired (no longer brewed),62843
Rotating/Seasonal,72259
Rotating/Seasonal,63439
Retired (no longer brewed),71021
Retired (no longer brewed),72258
Rotating/Seasonal,63421
Rotating/Seasonal,58155
Rotating/Seasonal,63418
Rotating/Seasonal,63441
Year-round,64937
Rotating/Seasonal,63424
Retired (no longer brewed),63426
Rotating/Seasonal,71162
Retired (no longer brewed),21879
Retired (no longer brewed),23115
Rotating/Seasonal,33294
Retired (no longer brewed),43368
Year-round,35401
Year-round,35388
Year-round,61377
Retired (no longer brewed),67699
Year-round,45979
Retired (no longer brewed),17180
Retired (no longer brewed),71829
Retired (no longer brewed),460
Retired (no longer brewed),36587
Retired (no longer brewed),76789
Year-round,63523
Retired (no longer brewed),4843
Retired (no longer brewed),20692
Retired (no longer brewed),22022
Retired (no longer brewed),20690
Retired (no longer brewed),13482
Retired (no longer brewed),26232
Retired (no longer brewed),38454
Retired (no longer brewed),71864
Year-round,51307
Year-round,2169
Retired (no longer brewed),14141
Retired (no longer brewed),40020
Retired (no longer brewed),18026
Year-round,73194
Retired (no longer brewed),35096
Retired (no longer brewed),71555
Year-round,52706
Retired (no longer brewed),32246
Retired (no longer brewed),17639
Year-round,73519
Year-round,17295
Retired (no longer brewed),24228
Retired (no longer brewed),23862
Retired (no longer brewed),30762
Year-round,11422
Retired (no longer brewed),51081
Retired (no longer brewed),38064
Retired (no longer brewed),68651
Retired (no longer brewed),23475
Retired (no longer brewed),60220
Retired (no longer brewed),39411
Year-round,64222
Year-round,58220
Year-round,58219
Year-round,26568
Year-round,26571
Year-round,74408
Retired (no longer brewed),4052
Retired (no longer brewed),17304
Year-round,64991
Retired (no longer brewed),26443
Retired (no longer brewed),39773
Year-round,44809
Year-round,71155
Rotating/Seasonal,64370
Retired (no longer brewed),25407
Rotating/Seasonal,23714
Retired (no longer brewed),12128
Year-round,69853
Year-round,70788
Year-round,45746
Year-round,54456
Retired (no longer brewed),33117
Retired (no longer brewed),39632
Retired (no longer brewed),39674
Retired (no longer brewed),9688
Retired (no longer brewed),40240
Retired (no longer brewed),31144
Retired (no longer brewed),40239
Retired (no longer brewed),13007
Retired (no longer brewed),53492
Retired (no longer brewed),10851
Retired (no longer brewed),31440
Retired (no longer brewed),33805
Year-round,67964
Year-round,48858
Retired (no longer brewed),18626
Retired (no longer brewed),15670
Retired (no longer brewed),15671
Retired (no longer brewed),76415
Year-round,53013
Retired (no longer brewed),36093
Retired (no longer brewed),67818
Year-round,36092
Retired (no longer brewed),36094
Year-round,77010
Retired (no longer brewed),27197
Rotating/Seasonal,46104
Retired (no longer brewed),25186
Retired (no longer brewed),25623
Retired (no longer brewed),64023
Rotating/Seasonal,52011
Retired (no longer brewed),26046
Year-round,68462
Retired (no longer brewed),76216
Rotating/Seasonal,76337
Retired (no longer brewed),36175
Retired (no longer brewed),17340
Retired (no longer brewed),20619
Retired (no longer brewed),53408
Retired (no longer brewed),60754
Retired (no longer brewed),4532
Rotating/Seasonal,63445
Rotating/Seasonal,64876
Year-round,48723
Retired (no longer brewed),53206
Retired (no longer brewed),63628
Year-round,73623
Year-round,70970
Retired (no longer brewed),60124
Retired (no longer brewed),28343
Retired (no longer brewed),21768
Retired (no longer brewed),25936
Retired (no longer brewed),32067
Rotating/Seasonal,53511
Retired (no longer brewed),34081
Retired (no longer brewed),14520
Rotating/Seasonal,45677
Retired (no longer brewed),27698
Rotating/Seasonal,58542
Retired (no longer brewed),27770
Retired (no longer brewed),32295
Retired (no longer brewed),26728
Retired (no longer brewed),56906
Retired (no longer brewed),24987
Retired (no longer brewed),15768
Retired (no longer brewed),43226
Retired (no longer brewed),37006
Rotating/Seasonal,57643
Retired (no longer brewed),21224
Retired (no longer brewed),54154
Retired (no longer brewed),62242
Retired (no longer brewed),59761
Retired (no longer brewed),75905
Retired (no longer brewed),58426
Retired (no longer brewed),36023
Retired (no longer brewed),68106
Retired (no longer brewed),71558
Retired (no longer brewed),65246
Retired (no longer brewed),73145
Retired (no longer brewed),27232
Rotating/Seasonal,74592
