Status,Beer_Beerid
Rotating/Seasonal,55466
Year-round,64153
Retired (no longer brewed),20833
Year-round,56033
Rotating/Seasonal,40032
Retired (no longer brewed),38121
Year-round,69559
Year-round,35744
Retired (no longer brewed),31129
Retired (no longer brewed),20442
Retired (no longer brewed),12903
Retired (no longer brewed),20223
Rotating/Seasonal,63471
Retired (no longer brewed),54384
Retired (no longer brewed),28014
Rotating/Seasonal,75443
Rotating/Seasonal,63998
Retired (no longer brewed),24424
Retired (no longer brewed),19366
Retired (no longer brewed),31127
Rotating/Seasonal,57537
Retired (no longer brewed),24856
Year-round,70166
Retired (no longer brewed),62399
Year-round,51506
Rotating/Seasonal,70941
Year-round,76856
Retired (no longer brewed),34993
Retired (no longer brewed),26495
Retired (no longer brewed),24694
Retired (no longer brewed),22318
Retired (no longer brewed),34971
Retired (no longer brewed),22320
Retired (no longer brewed),22317
Rotating/Seasonal,75620
Retired (no longer brewed),21122
Retired (no longer brewed),75593
Year-round,49994
Retired (no longer brewed),35784
Rotating/Seasonal,62549
Retired (no longer brewed),37007
Retired (no longer brewed),36471
Year-round,36756
Retired (no longer brewed),37036
Retired (no longer brewed),39508
Retired (no longer brewed),38249
Retired (no longer brewed),38250
Retired (no longer brewed),34120
Retired (no longer brewed),40321
Year-round,68853
Rotating/Seasonal,75133
Rotating/Seasonal,75131
Retired (no longer brewed),69136
Retired (no longer brewed),51600
Rotating/Seasonal,75201
Rotating/Seasonal,75132
Rotating/Seasonal,64301
Retired (no longer brewed),51756
Retired (no longer brewed),75199
Rotating/Seasonal,75197
Retired (no longer brewed),42767
Retired (no longer brewed),33552
Rotating/Seasonal,75050
Retired (no longer brewed),47018
Year-round,40943
Retired (no longer brewed),42177
Retired (no longer brewed),50523
Retired (no longer brewed),47970
Retired (no longer brewed),42134
Retired (no longer brewed),43340
Retired (no longer brewed),48501
Retired (no longer brewed),42957
Retired (no longer brewed),46444
Retired (no longer brewed),46434
Retired (no longer brewed),44335
Retired (no longer brewed),42744
Retired (no longer brewed),48379
Retired (no longer brewed),47225
Retired (no longer brewed),17371
Year-round,49761
Retired (no longer brewed),40726
Retired (no longer brewed),58004
Retired (no longer brewed),67465
Retired (no longer brewed),39046
Retired (no longer brewed),65870
Retired (no longer brewed),55568
Retired (no longer brewed),64536
Retired (no longer brewed),55072
Retired (no longer brewed),75003
Retired (no longer brewed),76168
Retired (no longer brewed),69045
Retired (no longer brewed),69047
Retired (no longer brewed),67466
Retired (no longer brewed),56532
Retired (no longer brewed),38988
Retired (no longer brewed),55569
Retired (no longer brewed),40816
Retired (no longer brewed),59365
Retired (no longer brewed),55014
Retired (no longer brewed),37549
Retired (no longer brewed),65529
Retired (no longer brewed),37547
Retired (no longer brewed),64606
Retired (no longer brewed),60641
Retired (no longer brewed),37548
Retired (no longer brewed),44980
Retired (no longer brewed),69046
Retired (no longer brewed),59190
Retired (no longer brewed),75001
Retired (no longer brewed),75002
Retired (no longer brewed),59188
Retired (no longer brewed),73021
Retired (no longer brewed),60640
Retired (no longer brewed),62824
Retired (no longer brewed),51971
Retired (no longer brewed),37550
Retired (no longer brewed),58477
Retired (no longer brewed),44982
Retired (no longer brewed),56649
Retired (no longer brewed),75004
Rotating/Seasonal,54335
Rotating/Seasonal,62332
Rotating/Seasonal,70315
Rotating/Seasonal,57136
Rotating/Seasonal,70316
Year-round,39771
Retired (no longer brewed),12093
Year-round,56479
Retired (no longer brewed),65094
Year-round,50865
Year-round,50866
Year-round,68368
Retired (no longer brewed),74049
Retired (no longer brewed),74048
Rotating/Seasonal,63362
Rotating/Seasonal,64580
Year-round,69661
Rotating/Seasonal,49771
Rotating/Seasonal,54109
Year-round,69662
Retired (no longer brewed),69942
Rotating/Seasonal,45664
Retired (no longer brewed),68472
Retired (no longer brewed),72802
Retired (no longer brewed),64782
Retired (no longer brewed),67520
Retired (no longer brewed),68471
Retired (no longer brewed),58103
Rotating/Seasonal,62292
Rotating/Seasonal,63323
Rotating/Seasonal,55849
Rotating/Seasonal,53938
Retired (no longer brewed),53939
Rotating/Seasonal,68278
Rotating/Seasonal,54971
Retired (no longer brewed),52937
Retired (no longer brewed),73642
Retired (no longer brewed),76872
Rotating/Seasonal,58900
Rotating/Seasonal,62238
Rotating/Seasonal,50579
Rotating/Seasonal,58309
Rotating/Seasonal,51388
Rotating/Seasonal,55178
Rotating/Seasonal,53940
Rotating/Seasonal,60797
Rotating/Seasonal,63586
Rotating/Seasonal,76715
Rotating/Seasonal,76158
Rotating/Seasonal,51391
Rotating/Seasonal,63792
Year-round,61188
Retired (no longer brewed),61497
Rotating/Seasonal,65257
Rotating/Seasonal,77036
Rotating/Seasonal,77035
Rotating/Seasonal,52047
Year-round,55244
Year-round,22705
Retired (no longer brewed),40331
Retired (no longer brewed),22715
Rotating/Seasonal,55575
Retired (no longer brewed),22712
Retired (no longer brewed),22708
Retired (no longer brewed),37929
Retired (no longer brewed),22706
Retired (no longer brewed),37936
Retired (no longer brewed),22707
Retired (no longer brewed),37924
Retired (no longer brewed),64830
Retired (no longer brewed),68534
Retired (no longer brewed),38281
Rotating/Seasonal,51177
Retired (no longer brewed),76731
Retired (no longer brewed),24174
Retired (no longer brewed),9792
Year-round,71379
Year-round,45105
Retired (no longer brewed),42256
Year-round,51471
Rotating/Seasonal,52697
Retired (no longer brewed),19923
Rotating/Seasonal,56166
Retired (no longer brewed),27741
Year-round,74886
Retired (no longer brewed),16135
Retired (no longer brewed),58889
Year-round,49887
Year-round,57885
Retired (no longer brewed),44271
Retired (no longer brewed),76314
Retired (no longer brewed),55148
Retired (no longer brewed),69561
Retired (no longer brewed),27511
Rotating/Seasonal,48737
Year-round,38698
Retired (no longer brewed),27102
Year-round,59630
Retired (no longer brewed),42283
Retired (no longer brewed),42259
Rotating/Seasonal,54483
Retired (no longer brewed),69223
Retired (no longer brewed),69224
Retired (no longer brewed),51565
Retired (no longer brewed),62523
Retired (no longer brewed),76660
Retired (no longer brewed),76659
Retired (no longer brewed),48285
Retired (no longer brewed),67784
Rotating/Seasonal,57315
Rotating/Seasonal,57677
Retired (no longer brewed),34554
Retired (no longer brewed),76657
Retired (no longer brewed),60629
Rotating/Seasonal,76478
Retired (no longer brewed),73287
Retired (no longer brewed),75117
Retired (no longer brewed),54067
Retired (no longer brewed),54068
Retired (no longer brewed),51336
Rotating/Seasonal,67446
Retired (no longer brewed),49767
Retired (no longer brewed),62034
Retired (no longer brewed),75115
Retired (no longer brewed),43044
Retired (no longer brewed),60294
Rotating/Seasonal,72429
Retired (no longer brewed),63951
Retired (no longer brewed),73342
Retired (no longer brewed),43883
Retired (no longer brewed),45550
Retired (no longer brewed),57844
Retired (no longer brewed),73344
Rotating/Seasonal,71122
Retired (no longer brewed),50617
Rotating/Seasonal,68699
Rotating/Seasonal,50477
Rotating/Seasonal,71167
Retired (no longer brewed),76873
Retired (no longer brewed),42168
Retired (no longer brewed),42452
Retired (no longer brewed),45545
Retired (no longer brewed),73347
Retired (no longer brewed),44813
Retired (no longer brewed),72981
Rotating/Seasonal,69471
Retired (no longer brewed),75118
Retired (no longer brewed),73343
Retired (no longer brewed),62871
Retired (no longer brewed),44487
Retired (no longer brewed),50475
Retired (no longer brewed),33135
Retired (no longer brewed),42166
Retired (no longer brewed),49916
Retired (no longer brewed),72541
Retired (no longer brewed),73346
Retired (no longer brewed),48674
Retired (no longer brewed),38283
Retired (no longer brewed),63388
Rotating/Seasonal,67447
Retired (no longer brewed),43046
Rotating/Seasonal,20618
Retired (no longer brewed),45513
Retired (no longer brewed),45548
Rotating/Seasonal,73277
Retired (no longer brewed),73345
Retired (no longer brewed),42451
Retired (no longer brewed),44812
Retired (no longer brewed),58237
Rotating/Seasonal,73292
Retired (no longer brewed),8779
Retired (no longer brewed),45947
Retired (no longer brewed),42455
Retired (no longer brewed),42454
Retired (no longer brewed),42167
Retired (no longer brewed),67448
Retired (no longer brewed),72899
Retired (no longer brewed),52802
Retired (no longer brewed),3484
Retired (no longer brewed),70840
Retired (no longer brewed),52543
Retired (no longer brewed),20557
Retired (no longer brewed),63383
Rotating/Seasonal,75557
Retired (no longer brewed),2445
Rotating/Seasonal,63590
Retired (no longer brewed),43577
Rotating/Seasonal,65606
Rotating/Seasonal,72183
Rotating/Seasonal,43697
Retired (no longer brewed),73535
Rotating/Seasonal,48656
Year-round,69440
Retired (no longer brewed),62336
Rotating/Seasonal,76556
Retired (no longer brewed),69438
Rotating/Seasonal,73534
Rotating/Seasonal,70546
Retired (no longer brewed),61845
Year-round,72719
Retired (no longer brewed),61846
Rotating/Seasonal,48654
Retired (no longer brewed),18554
Retired (no longer brewed),25540
Retired (no longer brewed),19646
Retired (no longer brewed),19466
Retired (no longer brewed),24490
Year-round,69304
Retired (no longer brewed),29257
Retired (no longer brewed),41232
Retired (no longer brewed),28904
Retired (no longer brewed),8541
Retired (no longer brewed),70047
Retired (no longer brewed),40514
Year-round,43203
Rotating/Seasonal,61416
Retired (no longer brewed),13382
Retired (no longer brewed),13384
Retired (no longer brewed),51765
Retired (no longer brewed),6415
Year-round,67110
Retired (no longer brewed),74669
Retired (no longer brewed),75866
Retired (no longer brewed),68773
Retired (no longer brewed),64131
Rotating/Seasonal,46861
Retired (no longer brewed),76006
Retired (no longer brewed),63138
Rotating/Seasonal,300
Retired (no longer brewed),9589
Retired (no longer brewed),21077
Retired (no longer brewed),71232
Retired (no longer brewed),9692
Retired (no longer brewed),1078
Retired (no longer brewed),47452
Year-round,49172
Rotating/Seasonal,61715
Rotating/Seasonal,74601
Retired (no longer brewed),64694
Retired (no longer brewed),37888
Retired (no longer brewed),19520
Retired (no longer brewed),13301
Retired (no longer brewed),4433
Rotating/Seasonal,4431
Retired (no longer brewed),4437
Year-round,75191
Retired (no longer brewed),33391
Year-round,62604
Year-round,68957
Retired (no longer brewed),16773
Rotating/Seasonal,75666
Rotating/Seasonal,67715
Retired (no longer brewed),15579
Retired (no longer brewed),33535
Rotating/Seasonal,60647
Retired (no longer brewed),9220
Rotating/Seasonal,63265
Rotating/Seasonal,52151
Retired (no longer brewed),72524
Rotating/Seasonal,55000
Retired (no longer brewed),9502
Retired (no longer brewed),19327
Retired (no longer brewed),47453
Retired (no longer brewed),47456
Retired (no longer brewed),50300
Retired (no longer brewed),48099
Retired (no longer brewed),47455
Retired (no longer brewed),50301
Retired (no longer brewed),60624
Retired (no longer brewed),76208
Retired (no longer brewed),68521
Retired (no longer brewed),76203
Retired (no longer brewed),52262
Retired (no longer brewed),35819
Retired (no longer brewed),70842
Retired (no longer brewed),52263
Retired (no longer brewed),68523
Retired (no longer brewed),55847
Retired (no longer brewed),72786
Retired (no longer brewed),76210
Retired (no longer brewed),25511
Retired (no longer brewed),23698
Retired (no longer brewed),51044
Retired (no longer brewed),50456
Retired (no longer brewed),68522
Retired (no longer brewed),76209
Retired (no longer brewed),22852
Retired (no longer brewed),66324
Retired (no longer brewed),47467
Retired (no longer brewed),52261
Year-round,34101
Retired (no longer brewed),44231
Rotating/Seasonal,48354
Retired (no longer brewed),44232
Retired (no longer brewed),44229
Year-round,44227
Year-round,70335
Year-round,74911
Year-round,74080
Retired (no longer brewed),38375
Retired (no longer brewed),43648
Year-round,72717
Retired (no longer brewed),22275
Retired (no longer brewed),23915
Retired (no longer brewed),36494
Retired (no longer brewed),16333
Retired (no longer brewed),36441
Retired (no longer brewed),36590
Year-round,36664
Retired (no longer brewed),43731
Retired (no longer brewed),28065
Year-round,36662
Retired (no longer brewed),23916
Retired (no longer brewed),30097
Rotating/Seasonal,49181
Year-round,49182
Year-round,26257
Retired (no longer brewed),28066
Rotating/Seasonal,49276
Retired (no longer brewed),25747
Retired (no longer brewed),29999
Retired (no longer brewed),54771
Retired (no longer brewed),58749
Retired (no longer brewed),23962
Rotating/Seasonal,59959
Retired (no longer brewed),21435
Retired (no longer brewed),70627
