Status,Beer_Beerid
Retired (no longer brewed),9266
Retired (no longer brewed),9264
Retired (no longer brewed),9263
Retired (no longer brewed),9262
Year-round,20139
Retired (no longer brewed),7635
Retired (no longer brewed),31579
Year-round,7638
Retired (no longer brewed),27460
Retired (no longer brewed),19948
Year-round,72298
Retired (no longer brewed),33791
Retired (no longer brewed),19949
Retired (no longer brewed),60048
Rotating/Seasonal,68065
Year-round,72297
Retired (no longer brewed),59643
Retired (no longer brewed),53736
Year-round,53737
Year-round,75183
Year-round,55761
Rotating/Seasonal,70150
Year-round,43869
Rotating/Seasonal,76213
Retired (no longer brewed),33416
Rotating/Seasonal,65981
Retired (no longer brewed),71357
Year-round,34582
Rotating/Seasonal,68586
Rotating/Seasonal,55792
Rotating/Seasonal,69464
Rotating/Seasonal,68588
Retired (no longer brewed),7874
Retired (no longer brewed),9276
Retired (no longer brewed),35252
Year-round,56862
Rotating/Seasonal,38668
Retired (no longer brewed),42774
Retired (no longer brewed),70280
Retired (no longer brewed),20855
Rotating/Seasonal,76305
Rotating/Seasonal,77167
Retired (no longer brewed),36614
Rotating/Seasonal,55706
Retired (no longer brewed),17065
Retired (no longer brewed),16928
Retired (no longer brewed),37390
Retired (no longer brewed),20857
Rotating/Seasonal,49733
Retired (no longer brewed),16568
Retired (no longer brewed),38997
Year-round,76199
Retired (no longer brewed),57297
Retired (no longer brewed),2848
Rotating/Seasonal,21259
Year-round,68252
Year-round,73448
Retired (no longer brewed),68312
Retired (no longer brewed),41459
Retired (no longer brewed),73672
Rotating/Seasonal,76961
Rotating/Seasonal,71844
Retired (no longer brewed),69771
Rotating/Seasonal,73456
Year-round,48840
Year-round,60725
Year-round,19622
Retired (no longer brewed),14346
Year-round,25434
Rotating/Seasonal,54485
Year-round,62556
Year-round,62554
Rotating/Seasonal,74717
Year-round,62553
Year-round,47383
Rotating/Seasonal,62583
Retired (no longer brewed),50760
Rotating/Seasonal,63248
Year-round,70884
Retired (no longer brewed),43994
Year-round,69085
Year-round,73322
Retired (no longer brewed),22934
Retired (no longer brewed),23006
Retired (no longer brewed),22942
Retired (no longer brewed),22986
Retired (no longer brewed),11908
Retired (no longer brewed),22876
Retired (no longer brewed),22987
Retired (no longer brewed),13458
Year-round,58291
Retired (no longer brewed),40809
Rotating/Seasonal,54756
Retired (no longer brewed),41176
Year-round,23920
Rotating/Seasonal,69468
Retired (no longer brewed),40117
Retired (no longer brewed),39599
Year-round,51778
Year-round,51777
Year-round,51897
Retired (no longer brewed),15154
Retired (no longer brewed),24615
Retired (no longer brewed),40131
Rotating/Seasonal,57053
Retired (no longer brewed),17667
Retired (no longer brewed),16980
Retired (no longer brewed),27710
Retired (no longer brewed),15156
Rotating/Seasonal,49409
Retired (no longer brewed),16589
Retired (no longer brewed),74051
Retired (no longer brewed),65054
Retired (no longer brewed),65061
Retired (no longer brewed),76538
Year-round,12521
Retired (no longer brewed),57759
Retired (no longer brewed),12517
Year-round,12519
Year-round,57266
Retired (no longer brewed),31328
Year-round,46012
Retired (no longer brewed),31001
Retired (no longer brewed),30998
Year-round,45971
Year-round,68083
Year-round,46150
Year-round,70221
Year-round,45871
Year-round,45669
Year-round,74992
Rotating/Seasonal,74519
Year-round,73987
Rotating/Seasonal,71025
Retired (no longer brewed),28212
Retired (no longer brewed),21912
Retired (no longer brewed),76611
Rotating/Seasonal,74656
Retired (no longer brewed),57979
Retired (no longer brewed),58711
Retired (no longer brewed),70276
Rotating/Seasonal,74142
Retired (no longer brewed),57976
Rotating/Seasonal,58247
Rotating/Seasonal,72160
Retired (no longer brewed),19603
Retired (no longer brewed),31886
Retired (no longer brewed),77307
Year-round,74846
Rotating/Seasonal,77183
Year-round,74580
Retired (no longer brewed),77305
Year-round,74765
Retired (no longer brewed),76754
Retired (no longer brewed),13645
Retired (no longer brewed),29946
Rotating/Seasonal,73991
Retired (no longer brewed),36820
Year-round,69778
Year-round,69917
Year-round,60026
Retired (no longer brewed),36769
Retired (no longer brewed),36771
Retired (no longer brewed),27083
Retired (no longer brewed),31034
Retired (no longer brewed),23661
Retired (no longer brewed),60748
Rotating/Seasonal,68012
Retired (no longer brewed),27214
Retired (no longer brewed),5783
Retired (no longer brewed),28327
Retired (no longer brewed),12742
Retired (no longer brewed),11346
Rotating/Seasonal,73160
Retired (no longer brewed),32845
Retired (no longer brewed),31691
Year-round,21088
Year-round,21089
Year-round,20708
Retired (no longer brewed),32611
Retired (no longer brewed),58335
Retired (no longer brewed),32607
Retired (no longer brewed),74042
Year-round,67061
Retired (no longer brewed),56257
Retired (no longer brewed),76454
Retired (no longer brewed),58230
Retired (no longer brewed),76147
Retired (no longer brewed),62546
Retired (no longer brewed),50667
Retired (no longer brewed),74677
Retired (no longer brewed),69984
Retired (no longer brewed),70045
Retired (no longer brewed),64098
Retired (no longer brewed),65493
Retired (no longer brewed),56851
Retired (no longer brewed),68406
Retired (no longer brewed),67338
Rotating/Seasonal,74550
Rotating/Seasonal,77022
Year-round,71335
Rotating/Seasonal,77023
Rotating/Seasonal,67027
Rotating/Seasonal,71334
Rotating/Seasonal,48469
Retired (no longer brewed),38324
Retired (no longer brewed),43055
Retired (no longer brewed),43056
Year-round,51220
Rotating/Seasonal,61025
Year-round,55473
Rotating/Seasonal,62358
Retired (no longer brewed),61683
Rotating/Seasonal,70576
Retired (no longer brewed),41493
Retired (no longer brewed),42885
Retired (no longer brewed),30901
Retired (no longer brewed),38050
Retired (no longer brewed),60903
Year-round,10699
Retired (no longer brewed),44990
Retired (no longer brewed),50615
Retired (no longer brewed),44233
Retired (no longer brewed),10703
Retired (no longer brewed),24289
Retired (no longer brewed),10704
Retired (no longer brewed),10706
Retired (no longer brewed),10701
Retired (no longer brewed),50372
Retired (no longer brewed),72551
Rotating/Seasonal,70610
Rotating/Seasonal,77037
Retired (no longer brewed),59797
Retired (no longer brewed),47164
Retired (no longer brewed),20559
Retired (no longer brewed),72439
Retired (no longer brewed),53286
Retired (no longer brewed),70237
Retired (no longer brewed),36978
Retired (no longer brewed),26239
Retired (no longer brewed),51425
Retired (no longer brewed),43524
Retired (no longer brewed),47165
Retired (no longer brewed),24723
Retired (no longer brewed),40808
Rotating/Seasonal,54288
Year-round,65163
Retired (no longer brewed),28330
Retired (no longer brewed),29777
Retired (no longer brewed),31658
Year-round,73724
Retired (no longer brewed),26470
Retired (no longer brewed),29778
Retired (no longer brewed),11967
Year-round,47392
Retired (no longer brewed),26318
Rotating/Seasonal,54292
Retired (no longer brewed),26765
Retired (no longer brewed),25355
Retired (no longer brewed),27106
Retired (no longer brewed),25354
Retired (no longer brewed),77015
Rotating/Seasonal,71442
Rotating/Seasonal,62220
Rotating/Seasonal,65231
Retired (no longer brewed),41909
Rotating/Seasonal,37386
Rotating/Seasonal,56844
Year-round,41908
Rotating/Seasonal,48176
Rotating/Seasonal,55165
Rotating/Seasonal,56843
Retired (no longer brewed),41906
Rotating/Seasonal,55187
Retired (no longer brewed),41907
Year-round,56019
Year-round,56191
Year-round,56471
Retired (no longer brewed),42415
Retired (no longer brewed),43916
Year-round,44412
Year-round,74884
Retired (no longer brewed),28689
Year-round,73014
Year-round,55497
Year-round,73243
Retired (no longer brewed),37378
Retired (no longer brewed),44588
Retired (no longer brewed),44589
Retired (no longer brewed),37268
Retired (no longer brewed),37284
Retired (no longer brewed),37267
Retired (no longer brewed),21138
Retired (no longer brewed),47397
Year-round,19760
Retired (no longer brewed),29867
Rotating/Seasonal,68816
Retired (no longer brewed),24101
Retired (no longer brewed),27805
Retired (no longer brewed),29837
Retired (no longer brewed),31208
Rotating/Seasonal,70122
Retired (no longer brewed),29539
Retired (no longer brewed),29476
Retired (no longer brewed),10746
Year-round,55508
Year-round,62196
Retired (no longer brewed),34105
Retired (no longer brewed),40441
Year-round,57413
Retired (no longer brewed),34106
Retired (no longer brewed),10747
Retired (no longer brewed),10729
Year-round,77281
Year-round,65236
Rotating/Seasonal,51651
Year-round,49426
Retired (no longer brewed),20933
Rotating/Seasonal,55042
Retired (no longer brewed),33050
Retired (no longer brewed),18684
Retired (no longer brewed),44084
Retired (no longer brewed),25723
Retired (no longer brewed),24381
Retired (no longer brewed),21978
Retired (no longer brewed),17200
Retired (no longer brewed),24918
Year-round,48191
Rotating/Seasonal,72197
Retired (no longer brewed),42072
Retired (no longer brewed),47525
Rotating/Seasonal,72195
Retired (no longer brewed),66284
Rotating/Seasonal,72199
Rotating/Seasonal,76205
Rotating/Seasonal,72196
Rotating/Seasonal,72198
Retired (no longer brewed),18686
Rotating/Seasonal,69735
Rotating/Seasonal,51126
Year-round,51120
Retired (no longer brewed),14117
Retired (no longer brewed),38313
Retired (no longer brewed),14123
Retired (no longer brewed),18125
Retired (no longer brewed),30592
Retired (no longer brewed),30663
Retired (no longer brewed),13595
Retired (no longer brewed),35716
Rotating/Seasonal,74948
Retired (no longer brewed),47121
Year-round,62701
Year-round,62699
Year-round,63618
Rotating/Seasonal,73810
Retired (no longer brewed),44850
Retired (no longer brewed),35262
Retired (no longer brewed),36530
Retired (no longer brewed),35981
Retired (no longer brewed),31415
Retired (no longer brewed),39431
Retired (no longer brewed),51415
Retired (no longer brewed),43232
Retired (no longer brewed),35261
Retired (no longer brewed),4905
Year-round,49557
Retired (no longer brewed),23981
Retired (no longer brewed),27791
Retired (no longer brewed),43589
Rotating/Seasonal,25810
Retired (no longer brewed),71274
Rotating/Seasonal,56147
Retired (no longer brewed),37043
Rotating/Seasonal,46643
Rotating/Seasonal,46631
Retired (no longer brewed),19158
Retired (no longer brewed),31822
Retired (no longer brewed),20011
Retired (no longer brewed),26374
Retired (no longer brewed),66863
Retired (no longer brewed),66862
Retired (no longer brewed),28669
Rotating/Seasonal,53038
Retired (no longer brewed),29465
Retired (no longer brewed),75122
Retired (no longer brewed),18445
Retired (no longer brewed),74410
Retired (no longer brewed),75123
Retired (no longer brewed),75862
Rotating/Seasonal,67409
Year-round,51074
Retired (no longer brewed),16220
Retired (no longer brewed),16185
Rotating/Seasonal,74705
Rotating/Seasonal,74279
Rotating/Seasonal,70988
Rotating/Seasonal,74281
Rotating/Seasonal,69297
Retired (no longer brewed),72916
Rotating/Seasonal,69929
Rotating/Seasonal,74280
Year-round,76752
Rotating/Seasonal,69666
Retired (no longer brewed),74780
Retired (no longer brewed),42144
Retired (no longer brewed),26314
Retired (no longer brewed),35835
Year-round,55169
Year-round,54271
Year-round,67218
Year-round,57559
Year-round,34810
Year-round,71284
Year-round,62900
Year-round,52995
Year-round,49843
Retired (no longer brewed),20135
Year-round,73031
Retired (no longer brewed),15290
Retired (no longer brewed),20136
Retired (no longer brewed),39489
Rotating/Seasonal,70926
Retired (no longer brewed),24888
Rotating/Seasonal,64088
Retired (no longer brewed),77196
Year-round,62326
Rotating/Seasonal,69751
Retired (no longer brewed),33154
Retired (no longer brewed),19196
Rotating/Seasonal,21080
Year-round,22120
Year-round,22123
Year-round,70179
Year-round,22119
Year-round,22136
Retired (no longer brewed),24434
Retired (no longer brewed),22118
Retired (no longer brewed),42449
Year-round,22122
Retired (no longer brewed),9143
Year-round,68865
Year-round,65175
Retired (no longer brewed),23079
Rotating/Seasonal,67882
Retired (no longer brewed),51005
Retired (no longer brewed),46526
Retired (no longer brewed),48226
Retired (no longer brewed),20152
Retired (no longer brewed),74252
Retired (no longer brewed),15543
Retired (no longer brewed),11889
Retired (no longer brewed),67553
Retired (no longer brewed),64028
Retired (no longer brewed),56289
Retired (no longer brewed),66882
Retired (no longer brewed),20083
Rotating/Seasonal,63597
Rotating/Seasonal,74764
Retired (no longer brewed),26249
Retired (no longer brewed),16690
Retired (no longer brewed),65550
Rotating/Seasonal,74763
Retired (no longer brewed),13934
Rotating/Seasonal,44880
Retired (no longer brewed),51322
Retired (no longer brewed),15994
Retired (no longer brewed),16833
Retired (no longer brewed),73979
Retired (no longer brewed),71646
Retired (no longer brewed),26535
Retired (no longer brewed),76929
Retired (no longer brewed),13938
Rotating/Seasonal,55676
Year-round,73091
Year-round,73093
Year-round,73094
Retired (no longer brewed),44290
Retired (no longer brewed),41464
Retired (no longer brewed),17547
Retired (no longer brewed),27324
Year-round,50540
Year-round,48678
Retired (no longer brewed),21864
Retired (no longer brewed),29924
Retired (no longer brewed),29923
Retired (no longer brewed),29925
Retired (no longer brewed),13118
Rotating/Seasonal,58925
Retired (no longer brewed),23890
Retired (no longer brewed),32185
Retired (no longer brewed),33466
Retired (no longer brewed),76635
Retired (no longer brewed),72997
Retired (no longer brewed),52656
Retired (no longer brewed),69671
Retired (no longer brewed),75878
Rotating/Seasonal,60397
Year-round,52655
Retired (no longer brewed),38890
Retired (no longer brewed),68089
