Status,Beer_Beerid
Year-round,74554
Rotating/Seasonal,69939
Retired (no longer brewed),73205
Rotating/Seasonal,55623
Year-round,14404
Retired (no longer brewed),26206
Retired (no longer brewed),25982
Retired (no longer brewed),13441
Rotating/Seasonal,54774
Year-round,74081
Year-round,36915
Year-round,36914
Retired (no longer brewed),37903
Rotating/Seasonal,52097
Retired (no longer brewed),37861
Rotating/Seasonal,57960
Retired (no longer brewed),36913
Rotating/Seasonal,57182
Retired (no longer brewed),37863
Retired (no longer brewed),37849
Rotating/Seasonal,57185
Retired (no longer brewed),37372
Year-round,47186
Retired (no longer brewed),40042
Retired (no longer brewed),21693
Retired (no longer brewed),55519
Retired (no longer brewed),38253
Retired (no longer brewed),32671
Retired (no longer brewed),8932
Retired (no longer brewed),24729
Retired (no longer brewed),48802
Retired (no longer brewed),54226
Retired (no longer brewed),40609
Retired (no longer brewed),15349
Retired (no longer brewed),37445
Retired (no longer brewed),28060
Retired (no longer brewed),12146
Retired (no longer brewed),56799
Year-round,76592
Year-round,55907
Retired (no longer brewed),12457
Year-round,76092
Year-round,76093
Retired (no longer brewed),43258
Rotating/Seasonal,75874
Year-round,65328
Retired (no longer brewed),36860
Retired (no longer brewed),37026
Rotating/Seasonal,53197
Retired (no longer brewed),25991
Retired (no longer brewed),25990
Retired (no longer brewed),54183
Year-round,67130
Retired (no longer brewed),68144
Retired (no longer brewed),46703
Retired (no longer brewed),35813
Retired (no longer brewed),35812
Retired (no longer brewed),18071
Retired (no longer brewed),46727
Retired (no longer brewed),47000
Retired (no longer brewed),57702
Rotating/Seasonal,60181
Rotating/Seasonal,57703
Rotating/Seasonal,49808
Rotating/Seasonal,53243
Retired (no longer brewed),65843
Retired (no longer brewed),75024
Retired (no longer brewed),72260
Rotating/Seasonal,68454
Year-round,70175
Year-round,71203
Retired (no longer brewed),49712
Year-round,9679
Retired (no longer brewed),26791
Rotating/Seasonal,55074
Retired (no longer brewed),71460
Retired (no longer brewed),47705
Retired (no longer brewed),49990
Retired (no longer brewed),27474
Retired (no longer brewed),51054
Retired (no longer brewed),24946
Retired (no longer brewed),54300
Retired (no longer brewed),61573
Retired (no longer brewed),73408
Retired (no longer brewed),71943
Retired (no longer brewed),15288
Retired (no longer brewed),53717
Retired (no longer brewed),46866
Retired (no longer brewed),43732
Retired (no longer brewed),27470
Retired (no longer brewed),14039
Retired (no longer brewed),57840
Retired (no longer brewed),18639
Retired (no longer brewed),58986
Retired (no longer brewed),36103
Retired (no longer brewed),46569
Retired (no longer brewed),32751
Retired (no longer brewed),43735
Retired (no longer brewed),25703
Retired (no longer brewed),48673
Retired (no longer brewed),64562
Retired (no longer brewed),29638
Retired (no longer brewed),59283
Retired (no longer brewed),27373
Retired (no longer brewed),15182
Retired (no longer brewed),66353
Retired (no longer brewed),21369
Retired (no longer brewed),32634
Retired (no longer brewed),61572
Retired (no longer brewed),44512
Retired (no longer brewed),72238
Retired (no longer brewed),53440
Retired (no longer brewed),54302
Retired (no longer brewed),27475
Retired (no longer brewed),52910
Retired (no longer brewed),24947
Retired (no longer brewed),46005
Retired (no longer brewed),40299
Retired (no longer brewed),66749
Retired (no longer brewed),43733
Retired (no longer brewed),53842
Retired (no longer brewed),67243
Retired (no longer brewed),57978
Retired (no longer brewed),67096
Retired (no longer brewed),33891
Retired (no longer brewed),59284
Retired (no longer brewed),53439
Retired (no longer brewed),52911
Retired (no longer brewed),43736
Retired (no longer brewed),53731
Retired (no longer brewed),27374
Retired (no longer brewed),25158
Retired (no longer brewed),59282
Retired (no longer brewed),45619
Retired (no longer brewed),39589
Retired (no longer brewed),3947
Retired (no longer brewed),34383
Retired (no longer brewed),66757
Retired (no longer brewed),49986
Retired (no longer brewed),12189
Retired (no longer brewed),27376
Retired (no longer brewed),21022
Retired (no longer brewed),49988
Retired (no longer brewed),38410
Retired (no longer brewed),11844
Retired (no longer brewed),34679
Retired (no longer brewed),26648
Retired (no longer brewed),66352
Retired (no longer brewed),49559
Retired (no longer brewed),35715
Retired (no longer brewed),32124
Retired (no longer brewed),59281
Retired (no longer brewed),43050
Retired (no longer brewed),66751
Retired (no longer brewed),66747
Rotating/Seasonal,70035
Rotating/Seasonal,46855
Retired (no longer brewed),74168
Retired (no longer brewed),70110
Retired (no longer brewed),35138
Retired (no longer brewed),49945
Rotating/Seasonal,72605
Retired (no longer brewed),76864
Rotating/Seasonal,60074
Retired (no longer brewed),42988
Retired (no longer brewed),27359
Retired (no longer brewed),45386
Retired (no longer brewed),16063
Retired (no longer brewed),16060
Retired (no longer brewed),27360
Retired (no longer brewed),16061
Retired (no longer brewed),18955
Year-round,72181
Year-round,72893
Rotating/Seasonal,28216
Year-round,28215
Year-round,28218
Retired (no longer brewed),15756
Retired (no longer brewed),64108
Retired (no longer brewed),38475
Retired (no longer brewed),34296
Retired (no longer brewed),12698
Retired (no longer brewed),46510
Retired (no longer brewed),44845
Retired (no longer brewed),71971
Retired (no longer brewed),18339
Rotating/Seasonal,64361
Retired (no longer brewed),60902
Retired (no longer brewed),10099
Retired (no longer brewed),48223
Rotating/Seasonal,72423
Rotating/Seasonal,64362
Retired (no longer brewed),28996
Year-round,70328
Year-round,77182
Year-round,77130
Year-round,68041
Year-round,48659
Year-round,67622
Retired (no longer brewed),18346
Year-round,69359
Year-round,75033
Retired (no longer brewed),71840
Rotating/Seasonal,50269
Retired (no longer brewed),59791
Retired (no longer brewed),49306
Retired (no longer brewed),76150
Retired (no longer brewed),67203
Retired (no longer brewed),56260
Retired (no longer brewed),67342
Retired (no longer brewed),39862
