Status,Beer_Beerid
Rotating/Seasonal,45494
Retired (no longer brewed),60112
Year-round,72526
Rotating/Seasonal,74623
Retired (no longer brewed),17760
Year-round,74954
Year-round,28470
Year-round,35305
Retired (no longer brewed),30927
Retired (no longer brewed),15502
Retired (no longer brewed),44109
Retired (no longer brewed),44106
Retired (no longer brewed),44111
Retired (no longer brewed),44107
Retired (no longer brewed),44108
Retired (no longer brewed),10283
Year-round,18585
Year-round,76452
Retired (no longer brewed),16763
Retired (no longer brewed),16575
Retired (no longer brewed),47877
Retired (no longer brewed),41340
Retired (no longer brewed),32642
Retired (no longer brewed),16519
Retired (no longer brewed),50391
Retired (no longer brewed),50272
Retired (no longer brewed),26151
Retired (no longer brewed),13876
Retired (no longer brewed),42013
Retired (no longer brewed),49095
Retired (no longer brewed),13875
Retired (no longer brewed),20628
Retired (no longer brewed),16629
Retired (no longer brewed),16128
Retired (no longer brewed),36556
Retired (no longer brewed),35317
Retired (no longer brewed),36558
Rotating/Seasonal,52177
Rotating/Seasonal,55965
Retired (no longer brewed),35251
Retired (no longer brewed),30760
Rotating/Seasonal,53207
Rotating/Seasonal,53917
Rotating/Seasonal,47587
Rotating/Seasonal,48388
Rotating/Seasonal,21482
Year-round,55217
Rotating/Seasonal,64909
Retired (no longer brewed),30492
Rotating/Seasonal,64635
Retired (no longer brewed),40574
Year-round,69056
Retired (no longer brewed),60368
Retired (no longer brewed),8882
Retired (no longer brewed),42194
Year-round,69907
Year-round,71724
Year-round,76984
Year-round,21728
Retired (no longer brewed),69542
Year-round,16089
Retired (no longer brewed),21736
Retired (no longer brewed),66171
Retired (no longer brewed),28006
Rotating/Seasonal,65232
Rotating/Seasonal,66853
Retired (no longer brewed),74604
Retired (no longer brewed),54718
Retired (no longer brewed),61676
Retired (no longer brewed),74221
Retired (no longer brewed),63123
Retired (no longer brewed),51534
Retired (no longer brewed),66311
Retired (no longer brewed),53000
Retired (no longer brewed),66678
Retired (no longer brewed),31946
Retired (no longer brewed),40422
Retired (no longer brewed),8328
Year-round,65322
Retired (no longer brewed),35978
Retired (no longer brewed),39864
Retired (no longer brewed),35922
Retired (no longer brewed),33213
Retired (no longer brewed),46706
Retired (no longer brewed),68311
Rotating/Seasonal,47205
Year-round,73594
Retired (no longer brewed),39545
Retired (no longer brewed),41773
Retired (no longer brewed),37057
Retired (no longer brewed),14104
Retired (no longer brewed),37210
Year-round,27235
Rotating/Seasonal,61855
Retired (no longer brewed),19786
Retired (no longer brewed),26259
Retired (no longer brewed),22578
Retired (no longer brewed),22299
Retired (no longer brewed),21487
Retired (no longer brewed),56625
Rotating/Seasonal,66730
Year-round,30873
Retired (no longer brewed),34992
Rotating/Seasonal,67929
Year-round,63633
Year-round,31498
Rotating/Seasonal,72830
Year-round,72395
Rotating/Seasonal,74138
Year-round,72398
Retired (no longer brewed),17857
Retired (no longer brewed),19034
Year-round,71610
Retired (no longer brewed),26986
Retired (no longer brewed),34583
Year-round,62107
Rotating/Seasonal,68431
Retired (no longer brewed),16507
Year-round,58474
Rotating/Seasonal,48634
Retired (no longer brewed),66094
Year-round,47408
Retired (no longer brewed),41724
Year-round,71127
Year-round,74991
Year-round,73671
Retired (no longer brewed),19035
Year-round,71126
Year-round,73593
Year-round,58342
Year-round,44811
